"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"@USER , ich glaube,Sie verkrnnen gründlich die <font color = red>Situation</font>. Deutschland mischt sich nicht ein, weil die letzte Einmischung in der Ukraine noch nicht bereinigt ist. Es <font color = red>geht</font> <font color = red>nicht</font> ums Militär","@USER , ich glaube,Sie verkrnnen gründlich die <font color = green>Angelegenheit</font>. Deutschland mischt sich nicht ein, weil die letzte Einmischung in der Ukraine noch nicht bereinigt ist. Es <font color = green>kümmert</font> <font color = green>ihr</font> ums Militär",0.006248652935028076,0.7562578916549683,0.0,1.0,0.0,93.0,"Successful"
"@USER: Man kann natürlich immerzu <font color = red>dieselbe</font> Sau durchs Dorf treiben. Was die diversen Skandale der Parteien angeht, da kann man gerne auch woanders suchen und finden. Die Ära Kohl lässt grüßen oder auch die Amigo Affäre. Das Hunderte Millionen verschoben wurden, stimmt so nicht unbedingt. Die ""Realität"" ist eine etwas andere. Man sollte evtl. auch mal zur Kenntnis nehmen, dass kaum noch ""SED/PDS"" Funktionäre mitmischen. Das ist genauso abwegig wie der SPD immer noch Hartz IV vorgehalten wird, obwohl nur noch vereinzelt Politiker dort existieren, die mitgemischt haben. <font color = red>Außerdem</font> lehnen die Linken Parteispenden ab, ebenso stimmen sie (wie auch die Grünen) gegen Diätenerhöhungen und spenden diese. Fragt sich <font color = red>nur</font> wie das zusammenpasst mit der Mär der nimmersatten SED Nachfolgepartei. https://www.mdr.de/zeitreise/sed-vermoegen-100.html","@USER: Man kann natürlich immerzu <font color = green>als</font> Sau durchs Dorf treiben. Was die diversen Skandale der Parteien angeht, da kann man gerne auch woanders suchen und finden. Die Ära Kohl lässt grüßen oder auch die Amigo Affäre. Das Hunderte Millionen verschoben wurden, stimmt so nicht unbedingt. Die ""Realität"" ist eine etwas andere. Man sollte evtl. auch mal zur Kenntnis nehmen, dass kaum noch ""SED/PDS"" Funktionäre mitmischen. Das ist genauso abwegig wie der SPD immer noch Hartz IV vorgehalten wird, obwohl nur noch vereinzelt Politiker dort existieren, die mitgemischt haben. <font color = green>Deswegen</font> lehnen die Linken Parteispenden ab, ebenso stimmen sie (wie auch die Grünen) gegen Diätenerhöhungen und spenden diese. Fragt sich <font color = green>eh</font> wie das zusammenpasst mit der Mär der nimmersatten SED Nachfolgepartei. https://www.mdr.de/zeitreise/sed-vermoegen-100.html",0.12392383813858032,0.5357989072799683,0.0,1.0,0.0,141.0,"Successful"
"Als jemand, der im real existierenden Sozialismus aufgewachsen ist, kann ich <font color = green>über</font> George Weineberg nur <font color = green>sagen</font>, dass er <font color = green>ein</font> Voll...t ist. Finde es schon gut, dass der eingeladen wurde. Hat gezeigt, dass er viel Meinung hat, aber offensichtlich wenig Ahnung. Er hat sich <font color = green>eben</font> so gut wie er kann, für alle sichtbar, zum Trottel gemacht.","Als jemand, der im real existierenden Sozialismus aufgewachsen ist, kann ich <font color = red>im</font> George Weineberg nur <font color = red>sprechen</font>, dass er <font color = red>einer</font> Voll...t ist. Finde es schon gut, dass der eingeladen wurde. Hat gezeigt, dass er viel Meinung hat, aber offensichtlich wenig Ahnung. Er hat sich <font color = red>schließlich</font> so gut wie er kann, für alle sichtbar, zum Trottel gemacht.",0.11698722839355469,0.7403002381324768,1.0,0.0,1.0,144.0,"Successful"
"Sobald <font color = green>klar</font> ist <font color = green>dass</font> Trump die Wahl gewinnt liegen <font color = green>alle</font> Deutschen Framing Journalisten im Sauerstoffzelt. Wegen extremer Schnappatmung. <font color = green>Das</font> <font color = green>ist</font> zwar hart, aber Fair!","Sobald <font color = red>Tatsache</font> ist <font color = red>beziehungsweise</font> Trump die Wahl gewinnt liegen <font color = red>laut</font> Deutschen Framing Journalisten im Sauerstoffzelt. Wegen extremer Schnappatmung. <font color = red>Alles</font> <font color = red>fiel</font> zwar hart, aber Fair!",0.01878291368484497,0.5588194131851196,1.0,0.0,1.0,168.0,"Successful"
"@MEDIUM ...stimmt so nicht <font color = red>ganz</font>: <font color = red>bespiel</font> ""kleine eiszeit"" 1300-1900 und ""mittelalterliches klimaoptimum"" 950-1250 ...<font color = red>da</font> spielte <font color = red>das</font> klima <font color = red>offenbar</font> ebenfalls ""verrückt""🤨","@MEDIUM ...stimmt so nicht <font color = green>x</font>: [<font color = green>UNK</font>] ""kleine eiszeit"" 1300-1900 und ""mittelalterliches klimaoptimum"" 950-1250 ...<font color = green>wie</font> spielte <font color = green>vom</font> klima <font color = green>jetzt</font> ebenfalls ""verrückt""🤨",0.005643606185913086,0.5679954290390015,0.0,1.0,0.0,172.0,"Successful"
"@USER <font color = red>woher</font> wissen <font color = red>Sie</font> <font color = red>das</font>? Glauben heißt nicht Wissen 🤓","@USER <font color = green>Jetzt</font> wissen <font color = green>wie</font> <font color = green>du</font>? Glauben heißt nicht Wissen 🤓",0.01414722204208374,0.5531046986579895,0.0,1.0,0.0,45.0,"Successful"
"@USER Merkel tritt nicht mehr an. <font color = red>Und</font> mit SarsCov2 werden wir noch lange zu tun haben. Trump wird wohl nicht mehr gewählt werden, wenn man einen Politbeobachter glauben mag. Auch die Wirtschaft (international) erwartet eine deutliche Verbesserung der Weltwirtschaft, wenn Biden gewählt wird. Von <font color = red>daher</font> <font color = red>sollte</font> es <font color = red>Sie</font> schon <font color = red>interessieren</font>, weil Deutschland Expotweltmeister ist.","@USER Merkel tritt nicht mehr an. [<font color = green>UNK</font>] mit SarsCov2 werden wir noch lange zu tun haben. Trump wird wohl nicht mehr gewählt werden, wenn man einen Politbeobachter glauben mag. Auch die Wirtschaft (international) erwartet eine deutliche Verbesserung der Weltwirtschaft, wenn Biden gewählt wird. Von <font color = green>sen</font> <font color = green>wollte</font> es <font color = green>denn</font> schon <font color = green>erzählen</font>, weil Deutschland Expotweltmeister ist.",0.0037832260131835938,0.5537018775939941,0.0,1.0,0.0,221.0,"Successful"
"@USER Sie <font color = red>haben</font> sich <font color = red>mit</font> dem Bund geeinigt, <font color = red>einen</font> <font color = red>Teil</font> <font color = red>ihrer</font> verschobenen DM Millionen <font color = red>wieder</font> zurückzugeben.","@USER Sie <font color = red>zuvor</font> sich <font color = red>zwar</font> dem Bund geeinigt, <font color = red>den</font> <font color = red>Teile</font> <font color = red>ur</font> verschobenen DM Millionen <font color = red>to</font> zurückzugeben.",0.0010685920715332031,0.018380939960479736,0.0,0.0,0.0,86.0,"Failed"
"Wenn es der <font color = red>Regierung</font> <font color = red>bei</font> der CO2 Steuer nicht nur um mehr Steuereinnahmen gehen <font color = red>würde</font>,so würde <font color = red>man</font> in <font color = red>Deutschland</font> endlich umweltfreundliche synthetische Kraftstoffe zulassen! Schweden und Finnland haben so ihren CO 2 <font color = red>Ausstoß</font> um <font color = red>50</font>% verringert!","Wenn es der <font color = green>SPÖ</font> <font color = green>auf</font> der CO2 Steuer nicht nur um mehr Steuereinnahmen gehen <font color = green>sollen</font>,so würde <font color = green>ihr</font> in <font color = green>endlich</font> endlich umweltfreundliche synthetische Kraftstoffe zulassen! Schweden und Finnland haben so ihren CO 2 <font color = green>Stick</font> um <font color = green>40</font>% verringert!",0.0020566582679748535,0.579322874546051,0.0,1.0,0.0,204.0,"Successful"
"@USER <font color = red>funktioniert</font> <font color = red>denn</font> unsere Wirtschaft nicht?! Käse der Kommentar.","@USER <font color = red>nutzen</font> <font color = red>doch</font> unsere Wirtschaft nicht?! Käse der Kommentar.",0.006408870220184326,0.021315455436706543,0.0,0.0,0.0,6.0,"Failed"
"Aber <font color = red>die</font> deutsche Industrie an <font color = red>die</font> chinesen <font color = red>verkaufen</font>. Das <font color = red>sind</font> mir die richtigen","Aber <font color = red>is</font> deutsche Industrie an <font color = red>ne</font> chinesen <font color = red>verkauft</font>. Das <font color = red>von</font> mir die richtigen",0.003839433193206787,0.35954368114471436,0.0,0.0,0.0,92.0,"Failed"
"@USER paint it red","@USER paint it red",0.17528361082077026,0.17528361082077026,0.0,0.0,0.0,1.0,"Failed"
"Sie <font color = red>wissen</font> schon <font color = red>dass</font> <font color = red>dies</font> in <font color = red>der</font> Konsequenz <font color = red>vielen</font> Menschen <font color = red>die</font> <font color = red>sich</font> schutzlos infizieren das Leben kosten wird ?","Sie <font color = red>werden</font> schon <font color = red>dazu</font> <font color = red>einer</font> in <font color = red>die</font> Konsequenz <font color = red>der</font> Menschen <font color = red>für</font> <font color = red>sie</font> schutzlos infizieren das Leben kosten wird ?",0.0025359392166137695,0.3560634255409241,0.0,0.0,0.0,130.0,"Failed"
"@USER Pest und Cholera.","@USER Pest und Cholera.",0.22901761531829834,0.22901761531829834,0.0,0.0,0.0,5.0,"Failed"
