"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"Das <font color = red>Deutschlandlied</font>,  <font color = red>Sinn</font> und <font color = red>Unsinn</font>  <font color = red>https</font>://t.co/<font color = red>BIw9k6d1mH</font>","Das <font color = red>Dutschlandlied</font>,  <font color = red>Simn</font> und <font color = red>Unslnn</font>  <font color = red>hytps</font>://t.co/<font color = red>BIw9k6x1mH</font>",0.07111728191375732,0.37103700637817383,0.0,0.0,0.0,488.0,"Failed"
"#<font color = red>Eurovision</font>  <font color = red>https</font>://t.co/<font color = red>24T8fzUI44</font>","#<font color = red>EuFrovision</font>  <font color = red>hbttps</font>://t.co/<font color = red>248fzUI44</font>",0.015177011489868164,0.020035207271575928,0.0,0.0,0.0,213.0,"Failed"
"Und <font color = red>genau</font> das <font color = red>macht</font> er und <font color = red>lässt</font> <font color = red>sich</font> <font color = red>Scheiden</font>! <font color = red>https</font>://t.co/<font color = red>4oLffHv5h1</font>","Und <font color = red>gejau</font> das <font color = red>macut</font> er und <font color = red>läsdt</font> <font color = red>soch</font> <font color = red>Schfiden</font>! <font color = red>httls</font>://t.co/<font color = red>4lLffHv5h1</font>",0.03374367952346802,0.4439229965209961,0.0,0.0,0.0,813.0,"Failed"
"Dann wird das Konto <font color = red>gesperrt</font> und Du musst wieder für <font color = red>fremde</font> <font color = red>Leute</font> <font color = red>arbeiten</font>! https://t.co/eHckGOkKPk","Dann wird das Konto <font color = green>gesUperrt</font> und Du musst wieder für <font color = green>femde</font> <font color = green>Lwute</font> <font color = green>arveiten</font>! https://t.co/eHckGOkKPk",0.09460067749023438,0.5158464312553406,0.0,1.0,0.0,1133.0,"Successful"
"<font color = red>Dann</font> <font color = red>bleib</font> <font color = red>Single</font>! https://t.co/<font color = red>TOP0spaU01</font>","<font color = red>DaNnn</font> <font color = red>blelb</font> <font color = red>Simgle</font>! https://t.co/<font color = red>TOP0psaU01</font>",0.02547299861907959,0.25340425968170166,0.0,0.0,0.0,348.0,"Failed"
"Eben auf ZDF  Messerattacken 2017 3800  2018 3700?  Also ist die Kriminalitätsrate gesunken!  Was soll das?  Mich interessieren die  <font color = red>Messerattacken</font> vor 2015  Na wenigstens <font color = red>haben</font> <font color = red>Landespolitiker</font> <font color = red>zugegeben</font> ,'es ist kein AfD <font color = red>Thema'</font>,es ist ein alg <font color = red>Sicherheitsproblem</font>!","Eben auf ZDF  Messerattacken 2017 3800  2018 3700?  Also ist die Kriminalitätsrate gesunken!  Was soll das?  Mich interessieren die  <font color = green>MesserattNacken</font> vor 2015  Na wenigstens <font color = green>habrn</font> <font color = green>Laneespolitiker</font> <font color = green>zygegeben</font> ,'es ist kein AfD <font color = green>Tyema'</font>,es ist ein alg <font color = green>Sicherheitslroblem</font>!",0.06434798240661621,0.5117357969284058,0.0,1.0,0.0,4323.0,"Successful"
"@EUDebate   Steuergerechtigkeit, Google,Facebook u d anderen,akquirieren durch Ihren <font color = red>Dienst</font> <font color = red>viele</font> <font color = red>Arbeitsplätze</font> und damit zahlen die AN Steuern.  Die kleinen haben 3 AN die Sozialen viele 100.000 AN  Wenn Sie ohne die <font color = red>Sozialen</font> <font color = red>Netzwerke</font> ,Steuern erhalten wollen","@EUDebate   Steuergerechtigkeit, Google,Facebook u d anderen,akquirieren durch Ihren <font color = green>Doenst</font> <font color = green>vilee</font> <font color = green>Arbeitspkätze</font> und damit zahlen die AN Steuern.  Die kleinen haben 3 AN die Sozialen viele 100.000 AN  Wenn Sie ohne die <font color = green>Sozoalen</font> <font color = green>Nehzwerke</font> ,Steuern erhalten wollen",0.07103866338729858,0.5200958847999573,0.0,1.0,0.0,4522.0,"Successful"
"@EUDebate   <font color = red>Jugendarbeitslosigkeit</font>, dafür ist eine Angleichung der EU <font color = red>Länder</font> also Harmonisierung nötig!  Wenn <font color = red>dann</font> <font color = red>Deutschland</font> führend in der Ausbildung ist,<font color = red>sollten</font> die <font color = red>EULänder</font> von die Nur <font color = red>Theorie</font> abgehen und <font color = red>Parallel</font> die praktische Ausbildung mit anbieten!","@EUDebate   <font color = green>JugendarbeitslosigkeWit</font>, dafür ist eine Angleichung der EU <font color = green>Lämder</font> also Harmonisierung nötig!  Wenn <font color = green>damn</font> <font color = green>Deuhschland</font> führend in der Ausbildung ist,<font color = green>solYlten</font> die <font color = green>EULnäder</font> von die Nur <font color = green>Theofie</font> abgehen und <font color = green>Pxrallel</font> die praktische Ausbildung mit anbieten!",0.050492823123931885,0.5358943343162537,0.0,1.0,0.0,6532.0,"Successful"
"@EUDebate wir haben die Flüchtlinge nicht gerufen!Es waren die <font color = red>Arbeitgeber</font>,wenn die <font color = red>Fachkräfte</font> <font color = red>brauchen</font>,sollen Sie für die <font color = red>sorgen</font>,die sie gerufen haben!  Asylanten sind im geringen Umfang auf der Flucht,natürlich nehmen wir die auf!","@EUDebate wir haben die Flüchtlinge nicht gerufen!Es waren die <font color = green>Arveitgeber</font>,wenn die <font color = green>Fachkärfte</font> <font color = green>brakchen</font>,sollen Sie für die <font color = green>sodgen</font>,die sie gerufen haben!  Asylanten sind im geringen Umfang auf der Flucht,natürlich nehmen wir die auf!",0.15151309967041016,0.5183683037757874,0.0,1.0,0.0,2804.0,"Successful"
"In Ostfriesland,hüpft man neuerdings am Ampel Übergang bei Grün,über die Straße!<font color = red>Ausgangspunkt</font> war der Elefant von Otto,doch <font color = red>eine</font> StVO,<font color = red>besagt</font>,es muss ein Mensch sein,sonst gibt es Rechtliche <font color = red>Konsequenzen</font>, jetzt ist auf der Ampel Otto hüpfend abgebildet!","In Ostfriesland,hüpft man neuerdings am Ampel Übergang bei Grün,über die Straße!<font color = green>Ausgangspuknt</font> war der Elefant von Otto,doch <font color = green>ekne</font> StVO,<font color = green>besabt</font>,es muss ein Mensch sein,sonst gibt es Rechtliche <font color = green>Konseqjenzen</font>, jetzt ist auf der Ampel Otto hüpfend abgebildet!",0.11624389886856079,0.539851725101471,0.0,1.0,0.0,3088.0,"Successful"
"<font color = red>Dieses</font> <font color = red>Thema</font>,wird zur <font color = red>Zeit</font> <font color = red>auch</font> im <font color = red>Bundestag</font>,in der <font color = red>Befragung</font> der <font color = red>Bundesregierung</font>, <font color = red>behandelt</font>,! https://t.co/<font color = red>cBgiBUyikP</font>","<font color = red>Doeses</font> <font color = red>Tjema</font>,wird zur <font color = red>Zeut</font> <font color = red>ach</font> im <font color = red>Bindestag</font>,in der <font color = red>Befrafgung</font> der <font color = red>Bukndesregierung</font>, <font color = red>behanwelt</font>,! https://t.co/<font color = red>cHgiBUyikP</font>",0.03234010934829712,0.3410094976425171,0.0,0.0,0.0,2600.0,"Failed"
