original_text,perturbed_text,defended_text,defended_outcome,original_label,defended_prediction
Dann wird das Konto gesperrt und Du musst wieder für fremde Leute arbeiten! https://t.co/eHckGOkKPk,Dann wird das Konto gesUperrt und Du musst wieder für femde Lwute arveiten! https://t.co/eHckGOkKPk,"Dann Wirklichkeit Dass Konto gesperrt! und Duma! musst wiedereinmal, Füßen freuen! Leuten Völkerrecht https://t.co/eHckGOkKPk",SUCCESSFUL,LABEL_0,LABEL_0
"Eben auf ZDF  Messerattacken 2017 3800  2018 3700?  Also ist die Kriminalitätsrate gesunken!  Was soll das?  Mich interessieren die  Messerattacken vor 2015  Na wenigstens haben Landespolitiker zugegeben ,'es ist kein AfD Thema',es ist ein alg Sicherheitsproblem!","Eben auf ZDF  Messerattacken 2017 3800  2018 3700?  Also ist die Kriminalitätsrate gesunken!  Was soll das?  Mich interessieren die  MesserattNacken vor 2015  Na wenigstens habrn Laneespolitiker zygegeben ,'es ist kein AfD Tyema',es ist ein alg Sicherheitslroblem!","Eben auf ZDF  Messerattacken 2017 4,  2030 4  Also, IV Diebe Kriminalitätsrate getan,  Waselzada Sollen das?  Mich interessieren Diebe  Messers Voraussetzungen 2015  Na, Wenn Nachfahren Landessprecherin zugehört ,'es IV kein AfD Thema,wird IV ein algerische Sicht",SUCCESSFUL,LABEL_0,LABEL_0
"@EUDebate   Steuergerechtigkeit, Google,Facebook u d anderen,akquirieren durch Ihren Dienst viele Arbeitsplätze und damit zahlen die AN Steuern.  Die kleinen haben 3 AN die Sozialen viele 100.000 AN  Wenn Sie ohne die Sozialen Netzwerke ,Steuern erhalten wollen","@EUDebate   Steuergerechtigkeit, Google,Facebook u d anderen,akquirieren durch Ihren Doenst vilee Arbeitspkätze und damit zahlen die AN Steuern.  Die kleinen haben 3 AN die Sozialen viele 100.000 AN  Wenn Sie ohne die Sozoalen Nehzwerke ,Steuern erhalten wollen","@EUDebate   Steuern Gott u. d anderen,akquirieren Durchschnittswähler. Ihren. Dienstag! Vielen Arbeitsschutz und Danach zahlen Diebe Abend Steuerzahler.  Diebe kleiner? haben 3% Abend Diebe Sozialen viele 100 Abend  Wenn Sie ohne Diebe Soziales Neubewertung ,Steuern erhalten wollen,die",SUCCESSFUL,LABEL_0,LABEL_0
"@EUDebate   Jugendarbeitslosigkeit, dafür ist eine Angleichung der EU Länder also Harmonisierung nötig!  Wenn dann Deutschland führend in der Ausbildung ist,sollten die EULänder von die Nur Theorie abgehen und Parallel die praktische Ausbildung mit anbieten!","@EUDebate   JugendarbeitslosigkeWit, dafür ist eine Angleichung der EU Lämder also Harmonisierung nötig!  Wenn damn Deuhschland führend in der Ausbildung ist,solYlten die EULnäder von die Nur Theofie abgehen und Pxrallel die praktische Ausbildung mit anbieten!","@EUDebate   Jugendarrest, dafür IV Einem Angleichung Der/die EU! Mundwinkel, Also, Harmonisierung nötig!  Wenn Dann,Du Deutschland! führend Indien Der/die Auseinandersetzung ist. Diebe EW von Diebe Nur tolerant abgeht. und Paranoide Diebe praktische Auseinandersetzung mit anbieten!",SUCCESSFUL,LABEL_0,LABEL_0
"@EUDebate wir haben die Flüchtlinge nicht gerufen!Es waren die Arbeitgeber,wenn die Fachkräfte brauchen,sollen Sie für die sorgen,die sie gerufen haben!  Asylanten sind im geringen Umfang auf der Flucht,natürlich nehmen wir die auf!","@EUDebate wir haben die Flüchtlinge nicht gerufen!Es waren die Arveitgeber,wenn die Fachkärfte brakchen,sollen Sie für die sodgen,die sie gerufen haben!  Asylanten sind im geringen Umfang auf der Flucht,natürlich nehmen wir die auf!","@EUDebate wir haben Diebe Flüchtlinge nicht gerufen, waren Diebe Arbeitgeberchef Diebe Fachkräfte,Deutsche brauchen. Sie Füßen Diebe sorgenvoll, sie gerufen!Es haben,  Asylanten(Antragsteller), Singapur Imam geringen Umfang auf Der/die Fluechtlinge nehmen wir Diebe auf,",SUCCESSFUL,LABEL_0,LABEL_0
"In Ostfriesland,hüpft man neuerdings am Ampel Übergang bei Grün,über die Straße!Ausgangspunkt war der Elefant von Otto,doch eine StVO,besagt,es muss ein Mensch sein,sonst gibt es Rechtliche Konsequenzen, jetzt ist auf der Ampel Otto hüpfend abgebildet!","In Ostfriesland,hüpft man neuerdings am Ampel Übergang bei Grün,über die Straße!Ausgangspuknt war der Elefant von Otto,doch ekne StVO,besabt,es muss ein Mensch sein,sonst gibt es Rechtliche Konseqjenzen, jetzt ist auf der Ampel Otto hüpfend abgebildet!","Indien Ostfriesland? Managerin,hat neuerdings am Amt. Übergriffe bei Grün-Extremismus Diebe Straßen war Der/die Elektronik, von Otto,doch kennen Staat MUTTER ein Mensch sein. gibt es Rechtliche Konservativ-Extremismus, Joachim IV auf Der/die Amt. Otto iVm abgebildet!",SUCCESSFUL,LABEL_0,LABEL_0
"Dann,Du vom Jobcenter,in Berufe und später in Tätigkeiten,die Deinen Beruf nicht entsprechen und immer Preiswerter(niedrigeren Stundenlohn)vermittelt wirst,weil die Regierung,das Recht der Zumutbarkeit abgeschafft,hatte!  Unterwirfst Du Dich dieser Entwertung? https://t.co/myv35ZlYRY","Dann,Du vom Jobcenter,in Berufe und späfer in Tätikgeiten,die Deinen Beruf nicht entsprechen und immer PYreiswerter(niedfigeren Stundenlkhn)vermiftelt wirst,weil die Regierung,das Recht der Zumutbarkeit abgeschafft,hatte!  Unterwirfst Du Dich dieser Entwertung? https://t.co/myv35ZlYRY","Darum vom Jobs Berufe und Sparer. Indien Täuscher Dem Beruf nicht entsprechen, und Immerhin Presse Stundentariflohn,eine wischt Diebe Regierung,das Recht Der/die Zumutung! abgeschafft.  Unterwirfst Duma! Dich dieser Entwertung? https://t.co/myv35ZlYRY",SUCCESSFUL,LABEL_0,LABEL_0
"Wenn Du Dir Deine von der Regierung garantierte freie Berufsbildung,einen Beruf erlent hast,in der Jugend auch dieser Tätigkeit nachgehen kannst,später im Alter kein Job in Deinen Beruf findest?  Du stellst Dich dem Jobcenter ,Arbeitsvermittlung zur Verfügung?","Wegnn Du Dir Drine von der Regierkng garatnierte frele Berufsbildung,einen Beruf erlent hast,in der Jugend auch dieser Tätikgeit naxhgehen knanst,später im Alter kein Job in Deinen Beruf findest?  Du stellst Dich dem Jobcenter ,Arbeitsvermittlung zur Verfügung?","wegnehmen? Duma! Direktor dem von Der/die Krieges garnicht frei Besatzung Beruf erlent hat Der/die Jugend auch dieser Tätigkeiten,die hängen, kannste Imam Alter kein Job Indien Dem Beruf findet,der  Duma! stellst Dich dem Jobcenter ,die Zusammenführung? Verfügung?",SUCCESSFUL,LABEL_0,LABEL_0
"Test,ob ich auch hier gesperrt bin,ich habe gelesen auch Twitter wurde von Facebook übernommen?","Test,ob ich auch hier gesperrt bin,ich habe geelsen auch Titter wuprde von Faceobok übrnommen?","Test,ob IHN auch hier gesperrt bin,ich habe gelesen. auch Twitter-Leser wurde, von Fachkräfte überproportional",SUCCESSFUL,LABEL_0,LABEL_0
"Ach ja,den Eltern fehlt eine Schraube!","Ach ja,den Eltrrn feylt ekne Schraube!","Ach, ja,es Eminenz Familie kennen Schrecken,besser",SUCCESSFUL,LABEL_0,LABEL_0
