"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"Das <font color = red>Deutschlandlied</font>,  <font color = red>Sinn</font> und <font color = red>Unsinn</font>  <font color = red>https</font>://t.co/<font color = red>BIw9k6d1mH</font>","Das <font color = red>Deutschladnlied</font>,  <font color = red>SYinn</font> und <font color = red>Unslnn</font>  <font color = red>httzps</font>://t.co/<font color = red>BIw9k6d1hmH</font>",0.07111728191375732,0.43828827142715454,0.0,0.0,0.0,218.0,"Failed"
"#<font color = red>Eurovision</font>  https://t.co/<font color = red>24T8fzUI44</font>","#<font color = red>Ejrovision</font>  https://t.co/<font color = red>24T8fzUI4</font>",0.015177011489868164,0.020984292030334473,0.0,0.0,0.0,129.0,"Failed"
"Und <font color = red>genau</font> das <font color = red>macht</font> er und <font color = red>lässt</font> <font color = red>sich</font> <font color = red>Scheiden</font>! <font color = red>https</font>://t.co/<font color = red>4oLffHv5h1</font>","Und <font color = red>gejau</font> das <font color = red>madht</font> er und <font color = red>läsdt</font> <font color = red>soch</font> <font color = red>Scheiwen</font>! <font color = red>htyps</font>://t.co/<font color = red>4oOffHv5h1</font>",0.03374367952346802,0.43348193168640137,0.0,0.0,0.0,210.0,"Failed"
"<font color = red>Dann</font> <font color = red>wird</font> das <font color = red>Konto</font> gesperrt und Du <font color = red>musst</font> wieder für <font color = red>fremde</font> <font color = red>Leute</font> <font color = red>arbeiten</font>! <font color = red>https</font>://t.co/eHckGOkKPk","<font color = green>Dwnn</font> <font color = green>wurd</font> das <font color = green>Kknto</font> gesperrt und Du <font color = green>muxst</font> wieder für <font color = green>femde</font> <font color = green>Leuye</font> <font color = green>arveiten</font>! <font color = green>httos</font>://t.co/eHckGOkKPk",0.09460067749023438,0.5733786225318909,0.0,1.0,0.0,194.0,"Successful"
"Dann <font color = red>bleib</font> <font color = red>Single</font>! <font color = red>https</font>://t.co/<font color = red>TOP0spaU01</font>","Dann <font color = red>blelb</font> <font color = red>Simgle</font>! <font color = red>htyps</font>://t.co/<font color = red>TO0PspaU01</font>",0.02547299861907959,0.17526298761367798,0.0,0.0,0.0,120.0,"Failed"
"Eben auf ZDF  <font color = red>Messerattacken</font> <font color = red>2017</font> <font color = red>3800</font>  <font color = red>2018</font> 3700?  Also ist die Kriminalitätsrate <font color = red>gesunken</font>!  Was <font color = red>soll</font> das?  Mich interessieren die  <font color = red>Messerattacken</font> vor 2015  Na <font color = red>wenigstens</font> <font color = red>haben</font> <font color = red>Landespolitiker</font> <font color = red>zugegeben</font> ,'es ist <font color = red>kein</font> AfD Thema',es ist ein alg <font color = red>Sicherheitsproblem</font>!","Eben auf ZDF  <font color = green>Meserattacken</font> <font color = green>207</font> <font color = green>300</font>  <font color = green>2k018</font> 3700?  Also ist die Kriminalitätsrate <font color = green>gexunken</font>!  Was <font color = green>skll</font> das?  Mich interessieren die  <font color = green>Messerjattacken</font> vor 2015  Na <font color = green>wenistens</font> <font color = green>hagen</font> <font color = green>Landeapolitiker</font> <font color = green>zyugegeben</font> ,'es ist <font color = green>kOein</font> AfD Thema',es ist ein alg <font color = green>Sicherheitslroblem</font>!",0.06434798240661621,0.5186336040496826,0.0,1.0,0.0,670.0,"Successful"
"@EUDebate   Steuergerechtigkeit, <font color = red>Google</font>,Facebook u d anderen,akquirieren durch <font color = red>Ihren</font> <font color = red>Dienst</font> viele Arbeitsplätze und <font color = red>damit</font> zahlen die AN Steuern.  Die <font color = red>kleinen</font> <font color = red>haben</font> 3 AN die Sozialen viele 100.000 AN  <font color = red>Wenn</font> Sie <font color = red>ohne</font> die <font color = red>Sozialen</font> Netzwerke ,<font color = red>Steuern</font> erhalten wollen","@EUDebate   Steuergerechtigkeit, <font color = green>Gooble</font>,Facebook u d anderen,akquirieren durch <font color = green>Iren</font> <font color = green>Doenst</font> viele Arbeitsplätze und <font color = green>daAmit</font> zahlen die AN Steuern.  Die <font color = green>kleunen</font> <font color = green>habken</font> 3 AN die Sozialen viele 100.000 AN  <font color = green>Wehn</font> Sie <font color = green>ohe</font> die <font color = green>Sozoalen</font> Netzwerke ,<font color = green>Stfuern</font> erhalten wollen",0.07103866338729858,0.5031255483627319,0.0,1.0,0.0,278.0,"Successful"
"@<font color = red>EUDebate</font>   Jugendarbeitslosigkeit, <font color = red>dafür</font> ist eine Angleichung der EU <font color = red>Länder</font> <font color = red>also</font> <font color = red>Harmonisierung</font> <font color = red>nötig</font>!  Wenn <font color = red>dann</font> Deutschland <font color = red>führend</font> in der Ausbildung ist,<font color = red>sollten</font> die <font color = red>EULänder</font> von die Nur Theorie <font color = red>abgehen</font> und Parallel die <font color = red>praktische</font> <font color = red>Ausbildung</font> mit anbieten!","@<font color = green>EUDeIbate</font>   Jugendarbeitslosigkeit, <font color = green>dfaür</font> ist eine Angleichung der EU <font color = green>Länxer</font> <font color = green>aoso</font> <font color = green>Harmoisierung</font> <font color = green>nöfig</font>!  Wenn <font color = green>damn</font> Deutschland <font color = green>füyrend</font> in der Ausbildung ist,<font color = green>soloten</font> die <font color = green>EULämder</font> von die Nur Theorie <font color = green>abgheen</font> und Parallel die <font color = green>prakitsche</font> <font color = green>Ausbildkng</font> mit anbieten!",0.050492823123931885,0.5201334953308105,0.0,1.0,0.0,520.0,"Successful"
"@EUDebate wir haben die <font color = red>Flüchtlinge</font> nicht <font color = red>gerufen</font>!Es waren die Arbeitgeber,wenn die Fachkräfte brauchen,sollen Sie für die sorgen,die sie <font color = red>gerufen</font> <font color = red>haben</font>!  Asylanten sind im <font color = red>geringen</font> Umfang auf der Flucht,<font color = red>natürlich</font> <font color = red>nehmen</font> wir die auf!","@EUDebate wir haben die <font color = green>Fküchtlinge</font> nicht <font color = green>gerugen</font>!Es waren die Arbeitgeber,wenn die Fachkräfte brauchen,sollen Sie für die sorgen,die sie <font color = green>gerfuen</font> <font color = green>habrn</font>!  Asylanten sind im <font color = green>geirngen</font> Umfang auf der Flucht,<font color = green>natürlidh</font> <font color = green>nemhen</font> wir die auf!",0.15151309967041016,0.5404137372970581,0.0,1.0,0.0,298.0,"Successful"
"In Ostfriesland,hüpft man neuerdings am <font color = red>Ampel</font> Übergang bei Grün,<font color = red>über</font> die <font color = red>Straße</font>!Ausgangspunkt war der Elefant von Otto,doch <font color = red>eine</font> StVO,besagt,es muss ein Mensch sein,sonst gibt es <font color = red>Rechtliche</font> <font color = red>Konsequenzen</font>, jetzt ist auf der Ampel Otto hüpfend abgebildet!","In Ostfriesland,hüpft man neuerdings am <font color = green>Ahmpel</font> Übergang bei Grün,<font color = green>übrr</font> die <font color = green>Steaße</font>!Ausgangspunkt war der Elefant von Otto,doch <font color = green>ekne</font> StVO,besagt,es muss ein Mensch sein,sonst gibt es <font color = green>RechtlZiche</font> <font color = green>Konseqjenzen</font>, jetzt ist auf der Ampel Otto hüpfend abgebildet!",0.11624389886856079,0.5346567034721375,0.0,1.0,0.0,211.0,"Successful"
