original_text,perturbed_text,defended_text,defended_outcome,original_label,defended_prediction
Dann wird das Konto gesperrt und Du musst wieder für fremde Leute arbeiten! https://t.co/eHckGOkKPk,Dwnn wurd das Kknto gesperrt und Du muxst wieder für femde Leuye arveiten! httos://t.co/eHckGOkKPk,"wendt wurde, Dass Kontrolle gesperrt und Duma! musste wiedereinmal, Füßen freuen! Eure Völkerrecht https://t.co/eNFKXFX2oI",SUCCESSFUL,LABEL_0,LABEL_0
"Eben auf ZDF  Messerattacken 2017 3800  2018 3700?  Also ist die Kriminalitätsrate gesunken!  Was soll das?  Mich interessieren die  Messerattacken vor 2015  Na wenigstens haben Landespolitiker zugegeben ,'es ist kein AfD Thema',es ist ein alg Sicherheitsproblem!","Eben auf ZDF  Meserattacken 207 300  2k018 3700?  Also ist die Kriminalitätsrate gexunken!  Was skll das?  Mich interessieren die  Messerjattacken vor 2015  Na wenistens hagen Landeapolitiker zyugegeben ,'es ist kOein AfD Thema',es ist ein alg Sicherheitslroblem!","Eben auf ZDF  Messers 2019 34%  2030 4  Also, IV Diebe Kriminalitätsrate getan,  Waselzada Skalpjäger das?  Mich interessieren Diebe  Messers Voraussetzungen 2015  Na, Totaler hängen, Landessprecherin zugehört ,'es IV Köpfe, AfD Thema,wird IV ein algerische Sicht",SUCCESSFUL,LABEL_0,LABEL_0
"@EUDebate   Steuergerechtigkeit, Google,Facebook u d anderen,akquirieren durch Ihren Dienst viele Arbeitsplätze und damit zahlen die AN Steuern.  Die kleinen haben 3 AN die Sozialen viele 100.000 AN  Wenn Sie ohne die Sozialen Netzwerke ,Steuern erhalten wollen","@EUDebate   Steuergerechtigkeit, Gooble,Facebook u d anderen,akquirieren durch Iren Doenst viele Arbeitsplätze und daAmit zahlen die AN Steuern.  Die kleunen habken 3 AN die Sozialen viele 100.000 AN  Wehn Sie ohe die Sozoalen Netzwerke ,Stfuern erhalten wollen","@EUDebate   Steuern Gott u. d anderen,akquirieren Durchschnittswähler. Eigenheiten⚠ Dienstag! viele Arbeitsschutz und Danach zahlen Diebe Abend Steuerzahler.  Diebe kleiner? Haft 3% Abend Diebe Sozialen viele 100 Abend  Wahlerfolg Sie Hölle Diebe Soziales Netzwerke ,für erhalten wollen,die",SUCCESSFUL,LABEL_0,LABEL_0
"@EUDebate   Jugendarbeitslosigkeit, dafür ist eine Angleichung der EU Länder also Harmonisierung nötig!  Wenn dann Deutschland führend in der Ausbildung ist,sollten die EULänder von die Nur Theorie abgehen und Parallel die praktische Ausbildung mit anbieten!","@EUDeIbate   Jugendarbeitslosigkeit, dfaür ist eine Angleichung der EU Länxer aoso Harmoisierung nöfig!  Wenn damn Deutschland füyrend in der Ausbildung ist,soloten die EULämder von die Nur Theorie abgheen und Parallel die prakitsche Ausbildkng mit anbieten!","@Empfehlung1   Jugendarrest, Dalai IV Einem Angleichung Der/die EU! lernt,was Also: Harry nüchtern  Wenn Dann,Du Deutschland! Freunde, Indien Der/die Auseinandersetzung ist. Diebe Mundwinkel, von Diebe Nur Thilo abgeht. und Paranoide Diebe preist Auseinandersetzung mit anbieten!",SUCCESSFUL,LABEL_0,LABEL_0
"@EUDebate wir haben die Flüchtlinge nicht gerufen!Es waren die Arbeitgeber,wenn die Fachkräfte brauchen,sollen Sie für die sorgen,die sie gerufen haben!  Asylanten sind im geringen Umfang auf der Flucht,natürlich nehmen wir die auf!","@EUDebate wir haben die Fküchtlinge nicht gerugen!Es waren die Arbeitgeber,wenn die Fachkräfte brauchen,sollen Sie für die sorgen,die sie gerfuen habrn!  Asylanten sind im geirngen Umfang auf der Flucht,natürlidh nemhen wir die auf!","@EUDebate wir haben Diebe Felle? nicht gerufen, waren Diebe Arbeitgeberchef Diebe Fachkräfte brauchen,sollen Sie Füßen Diebe sorgen,die sie gerufen!Es haben,  Asylanten(Antragsteller), Singapur Imam geringer Umfang auf Der/die Fluechtlinge Neid wir Diebe auf,",SUCCESSFUL,LABEL_0,LABEL_0
"In Ostfriesland,hüpft man neuerdings am Ampel Übergang bei Grün,über die Straße!Ausgangspunkt war der Elefant von Otto,doch eine StVO,besagt,es muss ein Mensch sein,sonst gibt es Rechtliche Konsequenzen, jetzt ist auf der Ampel Otto hüpfend abgebildet!","In Ostfriesland,hüpft man neuerdings am Ahmpel Übergang bei Grün,übrr die Steaße!Ausgangspunkt war der Elefant von Otto,doch ekne StVO,besagt,es muss ein Mensch sein,sonst gibt es RechtlZiche Konseqjenzen, jetzt ist auf der Ampel Otto hüpfend abgebildet!","Indien Ostfriesland? Managerin,hat neuerdings am Amt. Übergriffe bei Grün-Extremismus Diebe Straßen war Der/die Elektronik, von Otto,doch kennen StVO,besagt,es MUTTER ein Mensch sein. gibt es zersetzt Konservativ-Extremismus, Joachim IV auf Der/die Amt. Otto iVm abgebildet!",SUCCESSFUL,LABEL_0,LABEL_0
"Dann,Du vom Jobcenter,in Berufe und später in Tätigkeiten,die Deinen Beruf nicht entsprechen und immer Preiswerter(niedrigeren Stundenlohn)vermittelt wirst,weil die Regierung,das Recht der Zumutbarkeit abgeschafft,hatte!  Unterwirfst Du Dich dieser Entwertung? https://t.co/myv35ZlYRY","Damn,Du vom Jobcenher,in Berufe und später in Tätikgeiten,die Deonen Beruf nicut entsprechen und immer Preiswerter(niedrigeren Stundenlohn)vermittelt wirst,weul die Regierkng,das Redht der Zumutbarkeit abgeschafft,haotte!  Umterwirfst Du Dich dieser Entwertyng? htps://t.co/myv35ZoYRY","Darum vom Jobs Berufe und spätestens Indien Täuscher Der Beruf tun! entsprechen, und Immerhin Presse Stundentariflohn,eine wischt Diebe Regierung,regiert Rechte Der/die Zumutung! abgeschafft.  Unterzeichnung Duma! Dich dieser Entwicklung https://t.co/nL02t7AY88",SUCCESSFUL,LABEL_0,LABEL_0
"Test,ob ich auch hier gesperrt bin,ich habe gelesen auch Twitter wurde von Facebook übernommen?","Test,ob ich auch hirr gesperrt bin,ich habe gelesen auch Titter wuBrde von Faceobok übLernommen?","Test,ob IHN auch ISIS gesperrt bin,ich habe gelesen auch Twitter-Leser wurde, von Fachkräfte überproportional",SUCCESSFUL,LABEL_0,LABEL_0
"Ach ja,den Eltern fehlt eine Schraube!","Ach ja,den Eitern feblt ekne Schraibe!","Ach, ja,es erwirbt lebte kennen Schrecken,besser",SUCCESSFUL,LABEL_0,LABEL_0
"Prinz Harry wankt noch zwischen Black Panther und John Bercow,  wir werden sehen welcher Name angesagt ist!  Megan denkt ja,es wurde eine Tochter,aber so genau kann man dies ja Heutzutage nicht mehr sagen!  Trotzdem herzlichen Glückwunsch!","Prinz Hargy wankt noch zwischen Black Panther und John Bercow,  wir werden sehen welcher Name angesagt ist!  Megan denkt ja,es wurde ekne Tochter,aber so geanu kann man dids ja Heutzutage nicut mehr sagen!  Trotxdem herzlichen Glückwunsch!","Prioritäten Hartz wankt noch zwischen Black Panther und Josef Bereichen  wir Wert sehen weltweit Namen angesagt! ist!  Mehrfachaccounts denkt ja... wurde, kennen Tod so General kann Managerin,hat Diese ja Heutzutage tun! mehr sagen?  ermordete herzlichen Glückwunsch!",SUCCESSFUL,LABEL_0,LABEL_0
"@Freemynded_ Alle Absolutistischen Religionen,wie Islam,Katholizismus, wollen mit Ihren Glauben,die Welt retten!  Das die Menschen nicht erkennen,welch Destruktive Lehre,hinter diesen Glauben,steckt!  Der Glaube wird in Schutz genommen,trotzt das Imame zur Gewalt aufrufen!","@Freemynded_ Alle Absolutistischen Religionen,wie Islam,Kahholizismus, wollrn mit Ihren Glauben,die Welt retten!  Das die Menschen nicht erkenLnen,welch Destruktive Ldhre,hinter dZiesen Glauben,steckt!  Der Gkaube wird in Schutz genommen,trotzt das Imake zur Gewalt aufrufen!","@FridayForFuture Alle Abstieg,AfD Religionen,wie Islamanhänger wollen,die mit Ihren. Glauben,die Welt retten!  Dass Diebe Menschen nicht erkennt Destruktive Lehrer Naziheucheln Glauben,steckt!  Der/die Glauben,die Wirklichkeit Indien Schutzmauer genommen,trotzt Dass kämpft Zusammenführung? Gewalt aufs",SUCCESSFUL,LABEL_0,LABEL_0
"Aber dann nur mit der CGM,  24 Tage/Jahr Urlaub,den niedrigsten Stundentariflohn,eine gute Arbeitgeber Gewerkschaft! https://t.co/lRTTVBTX8b","Aher damn nur mit der CGM,  24 Tage/Jahr Uriaub,den nirdrigsten StunWdentariflohn,ekne gite ArbeitgePber Geeerkschaft! https://t.co/lRTTVBTX8b","her. Dann,Du nur mit Der/die CNN  24 Tage: Urteil. niemals Städte getreten Arbeitgeber,wenn Gewinn https://t.co/lbLQhKuFMK",SUCCESSFUL,LABEL_0,LABEL_0
"Nun zum Unmut der AfD,  war es kein Kantholz oder Knüppel,nach Videoaufzeichnung, war es einer der drei  der Ihm in den Rücken gesprungen ist!  Am Boden zog er sich die Verletzungen zu!!  Niemand trat nach,   also alles Normal ? https://t.co/yEp3EpuBJ8","Nun zum Unmut der AfD,  war es keun Kantholz oxer Knüppel,nach Videoaufzfichnung, war es einer der drei  der Ihm in den Rüucken gesprungen ist!  Am Boden zog er soch die Verletzungen zu!!  Niemamd trzt naxh,   alBso alkes Nogmal ? https://t.co/yEp3EpuB8","Nur zum Unmut Der/die AfD,  war es Keuter Kantholz Offenburg: Knüppel,nach Viel war es einer Der/die drei  Der/die Ihm Indien den Rückgrat gestalten ist!  Am Boden, zog er solche Diebe Verletzungen zu!!  Niveau Trotzdem nach.   blau Klatschis Moral ? https://t.co/ydBKTLmPNF",SUCCESSFUL,LABEL_0,LABEL_0
"Das immer der kleinste,die größte Schnauze hat!  Und starren kann er bei jeder Talkrunde,als ob er eine Giftschlange beschwören will! https://t.co/r84TDsQlDp","Das immer der kleinste,die größte Schnauze hat!  Und starren kann er bei jeder Talkrunde,als ob er eine Giftschlange bescheören will! htps://t.co/r84TDsQlDp","Dass Immerhin Der/die kleinste,die größten Schnauze hat,  Und starren kann er bei jeder Talkrunde,als Obama er Einem Giftschlange besonders will, https://t.co/rDQxzFaRhX",SUCCESSFUL,LABEL_0,LABEL_0
"Unserer   eigenen Überlegungen nachgehen,auf unsere eigenen Gedanken verlassend!  Denn wir alle sind ja nicht Doof,vielleicht ein bischen dumm,weil nicht gut informiert!  Lasst uns unsere Welt gestalten und unser Glück selbst bestimmen!  Prost 2019  Joachim wendt","Unserer   eigenen Überlegungen naRchgehen,auf unsere eigenen Gedanken verlassend!  Denn wir alle sind ja nicut Dopf,vielleicht ein bischen dumm,weil nicht gut informiert!  Lasst uns unsere Welt gestalten und unser Glück selbst besfimmen!  PrZost 2019  Jaochim wehdt","Unserer   eigenen Überlegungen nachvollziehbar😂😂😂 unsere eigenen Gedanken verletzt  Denn wir alle Singapur ja tun! Doppelmoral ein bischen dumm,weil nicht gut informiert!  Laut Unschuld. unsere Welt gestalten und unser Glück selbst bestimmt  Prädestiniert, 21  Job handverlesene",SUCCESSFUL,LABEL_0,LABEL_0
"Prost Neujahr,verbunden mit den besten Wünschenzum Beispiel Gesundheit,Glück,  Zufriedenheit,Erfolg aber auch Geruhsame sowie Ereignisreiche Erlebnisse mit der Familie!  Vieles kommt nicht von allein,sondern man muss es schon anregen!  Joachim Wendt","Prost Neujahr,verbunden mit den besten Wünschenzum Biespiel Gesundheit,Glück,  Zufriedenheit,Erfolg aber auch Geruhdame sowle Ereginisreiche Erlenbisse mit der Famikie!  Virles kommt nicht von allein,sonrern man muxs es schon anreren!  Joachim Wendt","Proteste Neujahr,verbunden mit den besten Wünschenzum Beiträge Gesundung  Zufriedenheit,Erfolg aber auch Gang Sollte Erfahrung! Erleuchtungsgefühl. mit Der/die Familie,sind  verloren! kommt nicht von alleine Managerin,hat MUTTER es SCHÜLERIN anrichten;  Joachim Wenigstens",SUCCESSFUL,LABEL_0,LABEL_0
