"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"Das Deutschlandlied,  Sinn <font color = red>und</font> <font color = red>Unsinn</font>  https://t.<font color = red>co</font>/BIw9k6d1mH","Das Deutschlandlied,  Sinn <font color = red>trifft</font> <font color = red>Seele</font>  https://t.<font color = red>gl</font>/BIw9k6d1mH",0.07111728191375732,0.08341878652572632,0.0,0.0,0.0,81.0,"Failed"
"#Eurovision  <font color = red>https</font>://t.co/24T8fzUI44","#Eurovision  <font color = red>en</font>://t.co/24T8fzUI44",0.015177011489868164,0.01629263162612915,0.0,0.0,0.0,25.0,"Failed"
"Und genau das macht er <font color = red>und</font> lässt sich Scheiden! <font color = red>https</font>://t.<font color = red>co</font>/4oLffHv5h1","Und genau das macht er <font color = red>da</font> lässt sich Scheiden! <font color = red>http</font>://t.<font color = red>be</font>/4oLffHv5h1",0.03374367952346802,0.06458061933517456,0.0,0.0,0.0,39.0,"Failed"
"Dann <font color = red>wird</font> <font color = red>das</font> Konto gesperrt <font color = red>und</font> <font color = red>Du</font> <font color = red>musst</font> wieder <font color = red>für</font> fremde <font color = red>Leute</font> arbeiten! https://t.<font color = red>co</font>/eHckGOkKPk","Dann <font color = red>die</font> <font color = red>Dir</font> Konto gesperrt <font color = red>die</font> <font color = red>Ihr</font> <font color = red>isst</font> wieder <font color = red>so</font> fremde <font color = red>Menschen</font> arbeiten! https://t.<font color = red>net</font>/eHckGOkKPk",0.09460067749023438,0.41303569078445435,0.0,0.0,0.0,294.0,"Failed"
"Dann bleib Single! <font color = red>https</font>://t.<font color = red>co</font>/TOP0spaU01","Dann bleib Single! <font color = red>http</font>://t.<font color = red>ni</font>/TOP0spaU01",0.02547299861907959,0.03480154275894165,0.0,0.0,0.0,36.0,"Failed"
"Eben <font color = red>auf</font> ZDF  Messerattacken <font color = red>2017</font> 3800  2018 3700?  Also ist <font color = red>die</font> Kriminalitätsrate <font color = red>gesunken</font>!  <font color = red>Was</font> <font color = red>soll</font> <font color = red>das</font>?  Mich interessieren die  Messerattacken <font color = red>vor</font> 2015  <font color = red>Na</font> <font color = red>wenigstens</font> <font color = red>haben</font> Landespolitiker <font color = red>zugegeben</font> ,'es <font color = red>ist</font> <font color = red>kein</font> AfD Thema',<font color = red>es</font> <font color = red>ist</font> <font color = red>ein</font> alg Sicherheitsproblem!","Eben <font color = red>so</font> ZDF  Messerattacken <font color = red>gehört</font> 3800  2018 3700?  Also ist <font color = red>deutsche</font> Kriminalitätsrate <font color = red>runter</font>!  <font color = red>Scheiße</font> <font color = red>is</font> <font color = red>der</font>?  Mich interessieren die  Messerattacken <font color = red>mit</font> 2015  <font color = red>ne</font> <font color = red>ktisch</font> <font color = red>ischer</font> Landespolitiker <font color = red>gehört</font> ,'es <font color = red>gehört</font> <font color = red>keine</font> AfD Thema',<font color = red>der</font> <font color = red>wird</font> <font color = red>so</font> alg Sicherheitsproblem!",0.06434798240661621,0.3380458950996399,0.0,0.0,0.0,658.0,"Failed"
"@EUDebate   Steuergerechtigkeit, Google,Facebook <font color = red>u</font> d <font color = red>anderen</font>,akquirieren <font color = red>durch</font> <font color = red>Ihren</font> Dienst viele Arbeitsplätze und damit zahlen die <font color = red>AN</font> <font color = red>Steuern</font>.  <font color = red>Die</font> kleinen <font color = red>haben</font> 3 AN die Sozialen viele 100.000 <font color = red>AN</font>  <font color = red>Wenn</font> Sie <font color = red>ohne</font> <font color = red>die</font> <font color = red>Sozialen</font> Netzwerke ,Steuern <font color = red>erhalten</font> wollen","@EUDebate   Steuergerechtigkeit, Google,Facebook <font color = red>mit</font> d <font color = red>gleichen</font>,akquirieren <font color = red>mir</font> <font color = red>nen</font> Dienst viele Arbeitsplätze und damit zahlen die <font color = red>Menschen</font> <font color = red>Steuer</font>.  <font color = red>Diese</font> kleinen <font color = red>lieben</font> 3 AN die Sozialen viele 100.000 <font color = red>die</font>  <font color = red>Sind</font> Sie <font color = red>nicht</font> <font color = red>meine</font> <font color = red>Soziale</font> Netzwerke ,Steuern <font color = red>die</font> wollen",0.07103866338729858,0.26029646396636963,0.0,0.0,0.0,362.0,"Failed"
"@EUDebate   Jugendarbeitslosigkeit, <font color = red>dafür</font> <font color = red>ist</font> <font color = red>eine</font> Angleichung <font color = red>der</font> <font color = red>EU</font> <font color = red>Länder</font> also Harmonisierung nötig!  Wenn dann Deutschland <font color = red>führend</font> in der Ausbildung ist,sollten <font color = red>die</font> EULänder <font color = red>von</font> <font color = red>die</font> Nur Theorie abgehen und Parallel die praktische <font color = red>Ausbildung</font> mit anbieten!","@EUDebate   Jugendarbeitslosigkeit, <font color = red>ach</font> <font color = red>so</font> <font color = red>kr</font> Angleichung <font color = red>unsere</font> <font color = red>ganzen</font> <font color = red>EU</font> also Harmonisierung nötig!  Wenn dann Deutschland <font color = red>so</font> in der Ausbildung ist,sollten <font color = red>irgendwelche</font> EULänder <font color = red>genauso</font> <font color = red>dumm</font> Nur Theorie abgehen und Parallel die praktische <font color = red>so</font> mit anbieten!",0.050492823123931885,0.147555410861969,0.0,0.0,0.0,366.0,"Failed"
"@EUDebate <font color = red>wir</font> <font color = red>haben</font> <font color = red>die</font> Flüchtlinge nicht <font color = red>gerufen</font>!Es waren <font color = red>die</font> Arbeitgeber,wenn die Fachkräfte brauchen,sollen Sie für <font color = red>die</font> <font color = red>sorgen</font>,<font color = red>die</font> sie <font color = red>gerufen</font> <font color = red>haben</font>!  Asylanten sind <font color = red>im</font> geringen Umfang auf der Flucht,natürlich nehmen wir die auf!","@EUDebate <font color = red>Leute</font> <font color = red>was</font> <font color = red>unser</font> Flüchtlinge nicht <font color = red>verdient</font>!Es waren <font color = red>mal</font> Arbeitgeber,wenn die Fachkräfte brauchen,sollen Sie für <font color = red>Ruhe</font> <font color = red>herrschen</font>,<font color = red>ich</font> sie <font color = red>da</font> <font color = red>nennen</font>!  Asylanten sind <font color = red>sie</font> geringen Umfang auf der Flucht,natürlich nehmen wir die auf!",0.15151309967041016,0.3549109697341919,0.0,0.0,0.0,301.0,"Failed"
"In Ostfriesland,hüpft <font color = red>man</font> neuerdings am Ampel Übergang <font color = red>bei</font> Grün,<font color = red>über</font> die <font color = red>Straße</font>!Ausgangspunkt war der Elefant von Otto,doch <font color = red>eine</font> <font color = red>StVO</font>,<font color = red>besagt</font>,es muss ein Mensch sein,sonst gibt es Rechtliche <font color = red>Konsequenzen</font>, jetzt <font color = red>ist</font> <font color = red>auf</font> <font color = red>der</font> Ampel Otto hüpfend abgebildet!","In Ostfriesland,hüpft <font color = green>dieser</font> neuerdings am Ampel Übergang <font color = green>auf</font> Grün,<font color = green>mal</font> die <font color = green>Hölle</font>!Ausgangspunkt war der Elefant von Otto,doch <font color = green>seine</font> <font color = green>Art</font>,<font color = green>na</font>,es muss ein Mensch sein,sonst gibt es Rechtliche <font color = green>Hürden</font>, jetzt <font color = green>so</font> <font color = green>die</font> <font color = green>die</font> Ampel Otto hüpfend abgebildet!",0.11624389886856079,0.5005819201469421,0.0,1.0,0.0,281.0,"Successful"
