"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"@USER , ich glaube,Sie verkrnnen gründlich die Situation. <font color = red>Deutschland</font> mischt sich nicht ein, weil die letzte Einmischung in der Ukraine noch nicht bereinigt ist. Es geht nicht ums Militär","@USER , ich glaube,Sie verkrnnen gründlich die Situation. <font color = green>Deutsculand</font> mischt sich nicht ein, weil die letzte Einmischung in der Ukraine noch nicht bereinigt ist. Es geht nicht ums Militär",0.006248652935028076,0.9684559106826782,0.0,1.0,0.0,666.0,"Successful"
"@USER: Man kann natürlich immerzu dieselbe Sau durchs Dorf treiben. Was die diversen Skandale der Parteien angeht, da kann man gerne auch <font color = red>woanders</font> suchen und finden. Die Ära Kohl lässt grüßen oder auch die Amigo Affäre. Das Hunderte Millionen verschoben wurden, stimmt so nicht unbedingt. Die ""Realität"" ist eine etwas andere. Man sollte evtl. auch mal zur Kenntnis nehmen, dass kaum noch ""SED/PDS"" Funktionäre mitmischen. Das ist genauso abwegig wie der SPD immer noch Hartz IV vorgehalten wird, obwohl nur noch vereinzelt Politiker dort existieren, die mitgemischt haben. Außerdem lehnen die Linken Parteispenden ab, ebenso stimmen sie (wie auch die Grünen) gegen Diätenerhöhungen und spenden diese. Fragt sich nur wie das zusammenpasst mit der Mär der nimmersatten SED Nachfolgepartei. https://www.mdr.de/zeitreise/sed-vermoegen-100.html","@USER: Man kann natürlich immerzu dieselbe Sau durchs Dorf treiben. Was die diversen Skandale der Parteien angeht, da kann man gerne auch <font color = green>woanedrs</font> suchen und finden. Die Ära Kohl lässt grüßen oder auch die Amigo Affäre. Das Hunderte Millionen verschoben wurden, stimmt so nicht unbedingt. Die ""Realität"" ist eine etwas andere. Man sollte evtl. auch mal zur Kenntnis nehmen, dass kaum noch ""SED/PDS"" Funktionäre mitmischen. Das ist genauso abwegig wie der SPD immer noch Hartz IV vorgehalten wird, obwohl nur noch vereinzelt Politiker dort existieren, die mitgemischt haben. Außerdem lehnen die Linken Parteispenden ab, ebenso stimmen sie (wie auch die Grünen) gegen Diätenerhöhungen und spenden diese. Fragt sich nur wie das zusammenpasst mit der Mär der nimmersatten SED Nachfolgepartei. https://www.mdr.de/zeitreise/sed-vermoegen-100.html",0.12392383813858032,0.9339097142219543,0.0,1.0,0.0,2950.0,"Successful"
"Als jemand, der im real existierenden Sozialismus aufgewachsen ist, kann ich über George Weineberg nur sagen, dass er ein Voll...t ist. Finde es schon gut, dass der <font color = green>eingeladen</font> wurde. Hat gezeigt, dass er viel Meinung hat, aber offensichtlich wenig Ahnung. Er hat sich eben so gut wie er kann, für alle sichtbar, zum Trottel gemacht.","Als jemand, der im real existierenden Sozialismus aufgewachsen ist, kann ich über George Weineberg nur sagen, dass er ein Voll...t ist. Finde es schon gut, dass der <font color = red>eingealden</font> wurde. Hat gezeigt, dass er viel Meinung hat, aber offensichtlich wenig Ahnung. Er hat sich eben so gut wie er kann, für alle sichtbar, zum Trottel gemacht.",0.11698722839355469,0.9935019016265869,1.0,0.0,1.0,1054.0,"Successful"
"Sobald klar ist dass Trump die Wahl gewinnt liegen alle Deutschen Framing Journalisten im <font color = green>Sauerstoffzelt</font>. Wegen extremer Schnappatmung. Das ist zwar hart, aber Fair!","Sobald klar ist dass Trump die Wahl gewinnt liegen alle Deutschen Framing Journalisten im <font color = red>Sauerstorfzelt</font>. Wegen extremer Schnappatmung. Das ist zwar hart, aber Fair!",0.01878291368484497,0.6454668045043945,1.0,0.0,1.0,648.0,"Successful"
"@MEDIUM ...<font color = red>stimmt</font> so nicht <font color = red>ganz</font>: bespiel ""kleine eiszeit"" 1300-1900 und ""mittelalterliches klimaoptimum"" 950-1250 ...da spielte das klima offenbar ebenfalls ""verrückt""🤨","@MEDIUM ...<font color = green>stummt</font> so nicht <font color = green>gEanz</font>: bespiel ""kleine eiszeit"" 1300-1900 und ""mittelalterliches klimaoptimum"" 950-1250 ...da spielte das klima offenbar ebenfalls ""verrückt""🤨",0.005643606185913086,0.9921618700027466,0.0,1.0,0.0,1206.0,"Successful"
"@USER woher wissen Sie das? Glauben heißt nicht <font color = red>Wissen</font> 🤓","@USER woher wissen Sie das? Glauben heißt nicht <font color = green>Wisxen</font> 🤓",0.01414722204208374,0.9740627408027649,0.0,1.0,0.0,187.0,"Successful"
"@USER Merkel tritt nicht mehr an. Und mit SarsCov2 werden wir noch lange zu tun haben. Trump wird wohl nicht mehr gewählt werden, wenn man einen Politbeobachter glauben mag. Auch die <font color = red>Wirtschaft</font> (international) erwartet eine deutliche Verbesserung der Weltwirtschaft, wenn Biden gewählt wird. Von daher sollte es Sie schon interessieren, weil Deutschland Expotweltmeister ist.","@USER Merkel tritt nicht mehr an. Und mit SarsCov2 werden wir noch lange zu tun haben. Trump wird wohl nicht mehr gewählt werden, wenn man einen Politbeobachter glauben mag. Auch die <font color = green>Wirtcshaft</font> (international) erwartet eine deutliche Verbesserung der Weltwirtschaft, wenn Biden gewählt wird. Von daher sollte es Sie schon interessieren, weil Deutschland Expotweltmeister ist.",0.0037832260131835938,0.9706475734710693,0.0,1.0,0.0,1487.0,"Successful"
"@USER Sie haben sich mit dem Bund <font color = red>geeinigt</font>, einen Teil ihrer <font color = red>verschobenen</font> DM <font color = red>Millionen</font> wieder zurückzugeben.","@USER Sie haben sich mit dem Bund <font color = green>geeinirt</font>, einen Teil ihrer <font color = green>verschovenen</font> DM <font color = green>Millironen</font> wieder zurückzugeben.",0.0010685920715332031,0.9328847527503967,0.0,1.0,0.0,1108.0,"Successful"
"Wenn es der <font color = red>Regierung</font> bei der CO2 Steuer nicht nur um mehr Steuereinnahmen gehen würde,so würde man in Deutschland endlich umweltfreundliche synthetische Kraftstoffe zulassen! Schweden und Finnland haben so ihren CO 2 Ausstoß um 50% <font color = red>verringert</font>!","Wenn es der <font color = green>Regirrung</font> bei der CO2 Steuer nicht nur um mehr Steuereinnahmen gehen würde,so würde man in Deutschland endlich umweltfreundliche synthetische Kraftstoffe zulassen! Schweden und Finnland haben so ihren CO 2 Ausstoß um 50% <font color = green>verirngert</font>!",0.0020566582679748535,0.9672884345054626,0.0,1.0,0.0,1902.0,"Successful"
"@USER funktioniert denn unsere <font color = red>Wirtschaft</font> nicht?! Käse der Kommentar.","@USER funktioniert denn unsere <font color = green>Wirtschavt</font> nicht?! Käse der Kommentar.",0.006408870220184326,0.9916045069694519,0.0,1.0,0.0,292.0,"Successful"
"Aber die deutsche Industrie an die chinesen <font color = red>verkaufen</font>. Das sind mir die richtigen","Aber die deutsche Industrie an die chinesen <font color = green>veraufen</font>. Das sind mir die richtigen",0.003839433193206787,0.9728249907493591,0.0,1.0,0.0,303.0,"Successful"
"@<font color = red>USER</font> <font color = red>paint</font> it red","@<font color = red>USWR</font> <font color = red>paknt</font> it red",0.17528361082077026,0.30760592222213745,0.0,0.0,0.0,57.0,"Failed"
"Sie wissen schon dass dies in der Konsequenz vielen Menschen die sich schutzlos infizieren das Leben <font color = red>kosten</font> <font color = red>wird</font> ?","Sie wissen schon dass dies in der Konsequenz vielen Menschen die sich schutzlos infizieren das Leben <font color = green>koxten</font> <font color = green>wEird</font> ?",0.0025359392166137695,0.9520874619483948,0.0,1.0,0.0,817.0,"Successful"
"@USER Pest und <font color = red>Cholera</font>.","@USER Pest und <font color = green>Cholrra</font>.",0.22901761531829834,0.9919415712356567,0.0,1.0,0.0,74.0,"Successful"
"@USER und mit Maßnahmen auch. <font color = red>Verzweifelte</font> die um ihre Existenz kämpften und kämpfen....","@USER und mit Maßnahmen auch. <font color = green>Verzwifelte</font> die um ihre Existenz kämpften und kämpfen....",0.008133471012115479,0.9876559972763062,0.0,1.0,0.0,293.0,"Successful"
"@USER wer sind denn die reichen <font color = red>Eltern</font>?","@USER wer sind denn die reichen <font color = green>Eitern</font>?",0.004338085651397705,0.9701676964759827,0.0,1.0,0.0,116.0,"Successful"
"@USER Ähnluches vermute ich auch. Kein Land der Welt würde jemals diese exorbitant hohen Schulden <font color = red>begleichen</font> <font color = red>können</font>.","@USER Ähnluches vermute ich auch. Kein Land der Welt würde jemals diese exorbitant hohen Schulden <font color = green>belgeichen</font> <font color = green>kömnen</font>.",0.00164872407913208,0.9875127077102661,0.0,1.0,0.0,854.0,"Successful"
"Abgesehen davon werden alte Autoreifen als Brennstoff für die Betonproduktion benutzt. Diese <font color = red>kann</font> man aber <font color = red>runderneuern</font>, und die <font color = red>Kautschukplantagen</font> sind auch <font color = red>problematisch</font>. <font color = red>Hintergrund</font>: https://www.ardmediathek.de/ard/video/die-story/schmutzige-reifen-ein-milliardengeschaeft/wdr-fernsehen/Y3JpZDovL3dkci5kZS9CZWl0cmFnLTBjMmFlNGJjLTg4NGItNGJkMi1iZTIyLTMwZTlkZjAwNjNmYQ/","Abgesehen davon werden alte Autoreifen als Brennstoff für die Betonproduktion benutzt. Diese <font color = green>knan</font> man aber <font color = green>runddrneuern</font>, und die <font color = green>Kautdchukplantagen</font> sind auch <font color = green>problematosch</font>. <font color = green>Hinterbrund</font>: https://www.ardmediathek.de/ard/video/die-story/schmutzige-reifen-ein-milliardengeschaeft/wdr-fernsehen/Y3JpZDovL3dkci5kZS9CZWl0cmFnLTBjMmFlNGJjLTg4NGItNGJkMi1iZTIyLTMwZTlkZjAwNjNmYQ/",0.001770615577697754,0.9055209755897522,0.0,1.0,0.0,8941.0,"Successful"
"@USER Das stimmt @USER aber mit einem Unterschied: Herr Weinberg ist deutlich besser <font color = red>informiert</font> als D.T. ...","@USER Das stimmt @USER aber mit einem Unterschied: Herr Weinberg ist deutlich besser <font color = green>informirrt</font> als D.T. ...",0.0018186569213867188,0.8840938806533813,0.0,1.0,0.0,367.0,"Successful"
"@MEDIUM ich hoffe es bleibt wie es ist. Biden <font color = red>bedeutet</font> Krieg. Siehe <font color = red>Friedensnobelpreisträger</font>.Trump hat geliefert, dafür würde er gewählt","@MEDIUM ich hoffe es bleibt wie es ist. Biden <font color = green>bedetuet</font> Krieg. Siehe <font color = green>Frierensnobelpreisträger</font>.Trump hat geliefert, dafür würde er gewählt",0.0016738176345825195,0.8188044428825378,0.0,1.0,0.0,891.0,"Successful"
"Was <font color = red>nützt</font> das Labern?","Was <font color = green>nühzt</font> das Labern?",0.08249789476394653,0.9873878955841064,0.0,1.0,0.0,47.0,"Successful"
"Müsst ihr immer diesen A... einladen? Sein <font color = green>Sprech</font> ist wie eine Kopie des tRumpeltiers. Ein Grund für mich, nicht einzuschalten. Habe den letztens in der Phoenix Runde erlebt.","Müsst ihr immer diesen A... einladen? Sein <font color = red>Sprch</font> ist wie eine Kopie des tRumpeltiers. Ein Grund für mich, nicht einzuschalten. Habe den letztens in der Phoenix Runde erlebt.",0.0744558572769165,0.6966902613639832,1.0,0.0,1.0,562.0,"Successful"
"Hackt nicht nimmer auf den Fussball rum. Bei allem Sportarten sind wieder Zuschauer erlaubt. <font color = red>Hygienekonzept</font> vorausgesetzt.","Hackt nicht nimmer auf den Fussball rum. Bei allem Sportarten sind wieder Zuschauer erlaubt. <font color = green>Hyglenekonzept</font> vorausgesetzt.",0.16600316762924194,0.9899613857269287,0.0,1.0,0.0,520.0,"Successful"
"@MEDIUM Die <font color = red>Sichtweise</font> von Herrn Spenner wirkt doch sehr <font color = red>vernünftig</font>, denke ich.","@MEDIUM Die <font color = green>Sichtweiae</font> von Herrn Spenner wirkt doch sehr <font color = green>verbünftig</font>, denke ich.",0.0009241700172424316,0.6091969013214111,0.0,1.0,0.0,509.0,"Successful"
"haha sucht man schon Ausreden für die völlig Dumme <font color = green>Berichterstattung</font> der letzten Wochen...?","haha sucht man schon Ausreden für die völlig Dumme <font color = red>BerichJterstattung</font> der letzten Wochen...?",0.08213716745376587,0.9075722098350525,1.0,0.0,1.0,342.0,"Successful"
"@USER weil er es <font color = red>kann</font>. 🤷🏻‍♂️","@USER weil er es <font color = green>kahn</font>. 🤷🏻‍♂️",0.04939168691635132,0.9425607323646545,0.0,1.0,0.0,47.0,"Successful"
"@USER man man mal, die <font color = red>Impfungen</font> laufen über Jahre, die lief in schnelllauf","@USER man man mal, die <font color = green>Impfuengen</font> laufen über Jahre, die lief in schnelllauf",0.002346217632293701,0.562049388885498,0.0,1.0,0.0,222.0,"Successful"
"Es ist traurig, dass ein Austritt aus diesem Abkommen über 3 Jahre gedauert hat und ein Beitritt direkt am 1. Amtstag von Biden wieder möglich sein soll. Das wird ein trauriger Tag für alle Amerikaner sein, die dann ebenfalls unter einer deutlich höheren Steuerlast leiden müssen. Wir Deutschen müssen diese <font color = red>Klimahysterie</font> ja schon ab dem 1. Januar gnadenlos im Geldbeutel spüren!","Es ist traurig, dass ein Austritt aus diesem Abkommen über 3 Jahre gedauert hat und ein Beitritt direkt am 1. Amtstag von Biden wieder möglich sein soll. Das wird ein trauriger Tag für alle Amerikaner sein, die dann ebenfalls unter einer deutlich höheren Steuerlast leiden müssen. Wir Deutschen müssen diese <font color = green>KlQimahysterie</font> ja schon ab dem 1. Januar gnadenlos im Geldbeutel spüren!",0.023196399211883545,0.8775722980499268,0.0,1.0,0.0,1370.0,"Successful"
