"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"@USER , ich glaube,Sie verkrnnen gründlich die <font color = red>Situation</font>. Deutschland mischt sich nicht ein, weil die letzte Einmischung in der Ukraine noch nicht bereinigt ist. Es <font color = red>geht</font> <font color = red>nicht</font> ums Militär","@USER , ich glaube,Sie verkrnnen gründlich die <font color = green>Sotuation</font>. Deutschland mischt sich nicht ein, weil die letzte Einmischung in der Ukraine noch nicht bereinigt ist. Es <font color = green>geyt</font> <font color = green>niQcht</font> ums Militär",0.006248652935028076,0.6575905680656433,0.0,1.0,0.0,96.0,"Successful"
"@USER: Man kann natürlich immerzu <font color = red>dieselbe</font> Sau durchs Dorf treiben. Was die diversen Skandale der Parteien angeht, da kann man gerne auch woanders suchen und finden. Die Ära Kohl lässt grüßen oder auch die Amigo Affäre. Das Hunderte Millionen verschoben wurden, stimmt so nicht unbedingt. Die ""Realität"" ist eine etwas andere. Man sollte evtl. auch mal zur Kenntnis nehmen, dass kaum noch ""SED/PDS"" Funktionäre mitmischen. Das ist genauso abwegig wie der SPD immer noch Hartz IV vorgehalten wird, obwohl nur noch vereinzelt Politiker dort existieren, die mitgemischt haben. <font color = red>Außerdem</font> lehnen die Linken Parteispenden ab, ebenso stimmen sie (wie auch die Grünen) gegen Diätenerhöhungen und spenden diese. Fragt sich nur wie das zusammenpasst mit der Mär der nimmersatten SED Nachfolgepartei. https://www.mdr.de/zeitreise/sed-vermoegen-100.html","@USER: Man kann natürlich immerzu <font color = green>diwselbe</font> Sau durchs Dorf treiben. Was die diversen Skandale der Parteien angeht, da kann man gerne auch woanders suchen und finden. Die Ära Kohl lässt grüßen oder auch die Amigo Affäre. Das Hunderte Millionen verschoben wurden, stimmt so nicht unbedingt. Die ""Realität"" ist eine etwas andere. Man sollte evtl. auch mal zur Kenntnis nehmen, dass kaum noch ""SED/PDS"" Funktionäre mitmischen. Das ist genauso abwegig wie der SPD immer noch Hartz IV vorgehalten wird, obwohl nur noch vereinzelt Politiker dort existieren, die mitgemischt haben. <font color = green>Außedrem</font> lehnen die Linken Parteispenden ab, ebenso stimmen sie (wie auch die Grünen) gegen Diätenerhöhungen und spenden diese. Fragt sich nur wie das zusammenpasst mit der Mär der nimmersatten SED Nachfolgepartei. https://www.mdr.de/zeitreise/sed-vermoegen-100.html",0.12392383813858032,0.831362247467041,0.0,1.0,0.0,92.0,"Successful"
"Als jemand, der im real existierenden Sozialismus aufgewachsen ist, kann ich über George Weineberg nur <font color = green>sagen</font>, dass er ein Voll...t ist. Finde es schon gut, dass der eingeladen wurde. Hat gezeigt, dass er viel Meinung hat, aber offensichtlich wenig Ahnung. Er hat sich <font color = green>eben</font> so gut wie er kann, für alle sichtbar, zum Trottel gemacht.","Als jemand, der im real existierenden Sozialismus aufgewachsen ist, kann ich über George Weineberg nur <font color = red>sgaen</font>, dass er ein Voll...t ist. Finde es schon gut, dass der eingeladen wurde. Hat gezeigt, dass er viel Meinung hat, aber offensichtlich wenig Ahnung. Er hat sich <font color = red>ehen</font> so gut wie er kann, für alle sichtbar, zum Trottel gemacht.",0.11698722839355469,0.7587767839431763,1.0,0.0,1.0,78.0,"Successful"
"Sobald <font color = green>klar</font> ist dass Trump die Wahl gewinnt liegen alle Deutschen Framing Journalisten im Sauerstoffzelt. <font color = green>Wegen</font> <font color = green>extremer</font> <font color = green>Schnappatmung</font>. Das ist zwar hart, aber Fair!","Sobald <font color = red>klxr</font> ist dass Trump die Wahl gewinnt liegen alle Deutschen Framing Journalisten im Sauerstoffzelt. <font color = red>Wehen</font> <font color = red>extreker</font> <font color = red>Sdhnappatmung</font>. Das ist zwar hart, aber Fair!",0.01878291368484497,0.8792566061019897,1.0,0.0,1.0,203.0,"Successful"
"@MEDIUM ...stimmt so nicht ganz: <font color = red>bespiel</font> ""kleine eiszeit"" <font color = red>1300-1900</font> und ""mittelalterliches klimaoptimum"" <font color = red>950-1250</font> ...da <font color = red>spielte</font> das klima <font color = red>offenbar</font> ebenfalls ""verrückt""🤨","@MEDIUM ...stimmt so nicht ganz: <font color = green>bespirl</font> ""kleine eiszeit"" <font color = green>1300-19h00</font> und ""mittelalterliches klimaoptimum"" <font color = green>950-2150</font> ...da <font color = green>spieote</font> das klima <font color = green>offenbr</font> ebenfalls ""verrückt""🤨",0.005643606185913086,0.9397683143615723,0.0,1.0,0.0,156.0,"Successful"
"@<font color = red>USER</font> <font color = red>woher</font> wissen Sie das? <font color = red>Glauben</font> heißt nicht Wissen 🤓","@<font color = green>UWER</font> <font color = green>wohdr</font> wissen Sie das? <font color = green>Gpauben</font> heißt nicht Wissen 🤓",0.01414722204208374,0.8981524109840393,0.0,1.0,0.0,79.0,"Successful"
"@USER <font color = red>Merkel</font> tritt nicht mehr an. Und mit SarsCov2 werden wir noch lange zu tun haben. Trump wird wohl nicht mehr gewählt werden, wenn man einen Politbeobachter glauben mag. Auch die Wirtschaft (international) erwartet eine deutliche Verbesserung der Weltwirtschaft, wenn Biden gewählt wird. Von <font color = red>daher</font> <font color = red>sollte</font> es Sie schon <font color = red>interessieren</font>, weil Deutschland Expotweltmeister ist.","@USER <font color = green>Mrrkel</font> tritt nicht mehr an. Und mit SarsCov2 werden wir noch lange zu tun haben. Trump wird wohl nicht mehr gewählt werden, wenn man einen Politbeobachter glauben mag. Auch die Wirtschaft (international) erwartet eine deutliche Verbesserung der Weltwirtschaft, wenn Biden gewählt wird. Von <font color = green>daber</font> <font color = green>spllte</font> es Sie schon <font color = green>intfressieren</font>, weil Deutschland Expotweltmeister ist.",0.0037832260131835938,0.9631074070930481,0.0,1.0,0.0,193.0,"Successful"
"@USER Sie <font color = red>haben</font> sich mit dem <font color = red>Bund</font> geeinigt, einen <font color = red>Teil</font> ihrer <font color = red>verschobenen</font> DM Millionen wieder <font color = red>zurückzugeben</font>.","@USER Sie <font color = green>hqben</font> sich mit dem <font color = green>Bknd</font> geeinigt, einen <font color = green>Teol</font> ihrer <font color = green>versxhobenen</font> DM Millionen wieder <font color = green>zurückaugeben</font>.",0.0010685920715332031,0.9530068039894104,0.0,1.0,0.0,212.0,"Successful"
"Wenn es der <font color = red>Regierung</font> bei der CO2 Steuer nicht nur um mehr Steuereinnahmen gehen würde,so würde man in <font color = red>Deutschland</font> endlich <font color = red>umweltfreundliche</font> synthetische Kraftstoffe zulassen! Schweden und Finnland haben so ihren CO 2 <font color = red>Ausstoß</font> um 50% verringert!","Wenn es der <font color = green>Regierkng</font> bei der CO2 Steuer nicht nur um mehr Steuereinnahmen gehen würde,so würde man in <font color = green>Deugschland</font> endlich <font color = green>umweltfrekndliche</font> synthetische Kraftstoffe zulassen! Schweden und Finnland haben so ihren CO 2 <font color = green>Aussotß</font> um 50% verringert!",0.0020566582679748535,0.769324779510498,0.0,1.0,0.0,288.0,"Successful"
"@USER <font color = red>funktioniert</font> denn unsere Wirtschaft nicht?! Käse der Kommentar.","@USER <font color = green>funktooniert</font> denn unsere Wirtschaft nicht?! Käse der Kommentar.",0.006408870220184326,0.9569099545478821,0.0,1.0,0.0,78.0,"Successful"
