"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"<font color = red>Frank</font> <font color = red>Rennicke</font> – Ich bin <font color = red>stolz</font> <font color = red>https</font>://t.co/<font color = red>Cm6TD8w1k1</font> <font color = red>https</font>://t.co/<font color = red>qynXso07Zn</font>","<font color = red>Feank</font> <font color = red>Renmicke</font> – Ich bin <font color = red>stokz</font> <font color = red>hytps</font>://t.co/<font color = red>Cm6TX8w1k1</font> <font color = red>hUttps</font>://t.co/<font color = red>qyhXso07Zn</font>",0.04133385419845581,0.46257030963897705,0.0,0.0,0.0,222.0,"Failed"
"ANSEHEN.....und danach <font color = red>bitte</font> <font color = red>TEILEN</font>...<font color = red>TEILEN</font>....<font color = red>TEILEN</font>.... <font color = red>https</font>://t.co/<font color = red>z18lnbOWRQ</font>","ANSEHEN.....und danach <font color = red>bltte</font> <font color = red>TILEN</font>...<font color = red>TEOLEN</font>....<font color = red>TIELEN</font>.... <font color = red>httFps</font>://t.co/<font color = red>z1H8lnbOWRQ</font>",0.019173860549926758,0.3251415491104126,0.0,0.0,0.0,179.0,"Failed"
"#Koeln Mohamed erkennt kein deutsches <font color = red>Recht</font> <font color = red>sondern</font> nur die #Scharia an. Das er den Kölner Dom <font color = red>kaputt</font> machen wollte, war nur ein <font color = red>Scherz</font> <font color = red>aber</font> wenn er aus dem Knast rauskommt, hat er kein Mitleid mehr. https://t.co/xcSixH8JR2","#Koeln Mohamed erkennt kein deutsches <font color = green>Recut</font> <font color = green>sonRdern</font> nur die #Scharia an. Das er den Kölner Dom <font color = green>kalutt</font> machen wollte, war nur ein <font color = green>ScheArz</font> <font color = green>abZer</font> wenn er aus dem Knast rauskommt, hat er kein Mitleid mehr. https://t.co/xcSixH8JR2",0.2726329565048218,0.5242612361907959,0.0,1.0,0.0,138.0,"Successful"
"#SaudiArabien ist eine <font color = red>brutale</font> islamische Diktatur und richtete kürzlich fünf Männer wegen <font color = red>ihre</font> Homosexualität hin. <font color = red>Welche</font> <font color = red>Konsequenzen</font> hat das für das Verhältnis zu <font color = red>Saudi-Arabien</font> nach <font color = red>Meinung</font> der <font color = red>Bundesregierung</font>? Die <font color = red>Antwort</font> im Video. <font color = red>https</font>://t.co/ttMeRBeXFE","#SaudiArabien ist eine <font color = green>brutake</font> islamische Diktatur und richtete kürzlich fünf Männer wegen <font color = green>ihXre</font> Homosexualität hin. <font color = green>Wselche</font> <font color = green>Konseqeunzen</font> hat das für das Verhältnis zu <font color = green>Saudi-Aragien</font> nach <font color = green>Meinng</font> der <font color = green>Bumdesregierung</font>? Die <font color = green>Antaort</font> im Video. <font color = green>httls</font>://t.co/ttMeRBeXFE",0.10044103860855103,0.5087129473686218,0.0,1.0,0.0,443.0,"Successful"
"#<font color = red>Deutschland</font> 2019: Ort für die #<font color = red>EU-Wahlparty</font> der #AfD <font color = red>wurde</font> gerade gekündigt. <font color = red>Vermieter</font> und <font color = red>Mieter</font> <font color = red>wurden</font> massiv von #<font color = red>Linksextremisten</font> <font color = red>bedroht</font>. Das Gebäude <font color = red>wurde</font> <font color = red>bereits</font> am <font color = red>letzten</font> Wochenende beschmiert und es <font color = red>wurde</font> <font color = red>damit</font> <font color = red>gedroht</font>, das <font color = red>Gebäude</font> zu <font color = red>beschädigen</font> und <font color = red>Autos</font> <font color = red>anzuzünden</font>.","#<font color = green>Dehtschland</font> 2019: Ort für die #<font color = green>EU-Waulparty</font> der #AfD <font color = green>wurrde</font> gerade gekündigt. <font color = green>VermieYter</font> und <font color = green>Mister</font> <font color = green>wusrden</font> massiv von #<font color = green>Linksexhremisten</font> <font color = green>bedrott</font>. Das Gebäude <font color = green>wurfe</font> <font color = green>breits</font> am <font color = green>letzen</font> Wochenende beschmiert und es <font color = green>wurse</font> <font color = green>dakit</font> <font color = green>gedrogt</font>, das <font color = green>Geäbude</font> zu <font color = green>bsechädigen</font> und <font color = green>AUutos</font> <font color = green>anzizünden</font>.",0.02795398235321045,0.5077817440032959,0.0,1.0,0.0,814.0,"Successful"
"#<font color = red>Innsbruck</font>: Tirolerin und Türke <font color = red>knacken</font> 2018 zahlreiche <font color = red>Automaten</font> bei Auto-Waschanlagen und <font color = red>Tankstellen</font>, anhand <font color = red>dort</font> <font color = red>gefundener</font> DNA <font color = red>kommt</font> heraus, <font color = red>dass</font> der <font color = red>Türke</font> <font color = red>auch</font> für <font color = red>Vergewaltigung</font> einer Frau in <font color = red>Innsbruck</font> in der Silvesternacht <font color = red>2012</font> <font color = red>verantwortlich</font> ist  <font color = red>https</font>://t.co/pjejeHQ7CN","#<font color = green>Innsbuck</font>: Tirolerin und Türke <font color = green>kacken</font> 2018 zahlreiche <font color = green>Autojaten</font> bei Auto-Waschanlagen und <font color = green>Tankstwllen</font>, anhand <font color = green>dott</font> <font color = green>gefudener</font> DNA <font color = green>kokmt</font> heraus, <font color = green>daxs</font> der <font color = green>TAürke</font> <font color = green>ach</font> für <font color = green>Vergewaltigyng</font> einer Frau in <font color = green>Innsbuck</font> in der Silvesternacht <font color = green>202</font> <font color = green>verantwortliSch</font> ist  <font color = green>htts</font>://t.co/pjejeHQ7CN",0.035287320613861084,0.5074446201324463,0.0,1.0,0.0,618.0,"Successful"
"#<font color = red>Wien</font>: <font color = red>Vier</font> <font color = red>Nigerianer</font> bestellen <font color = red>teils</font> hochpreisige <font color = red>Produkte</font> <font color = red>unter</font> falschen <font color = red>Namen</font>, <font color = red>holen</font> sie in <font color = red>Paketshops</font> ab und <font color = red>behalten</font> sie, <font color = red>ohne</font> zu bezahlen - bei einem <font color = red>Afrikaner</font> werden 250 teils <font color = red>originalverpackte</font> Produkte (<font color = red>Handys</font>, <font color = red>Laptops</font>, <font color = red>Bekleidung</font> usw.) <font color = red>gefunden</font>  https://t.co/<font color = red>4AjiMevsjm</font>","#<font color = green>Wirn</font>: <font color = green>Vidr</font> <font color = green>Nigerjaner</font> bestellen <font color = green>teikls</font> hochpreisige <font color = green>Pfodukte</font> <font color = green>uner</font> falschen <font color = green>Najen</font>, <font color = green>hoken</font> sie in <font color = green>Psketshops</font> ab und <font color = green>behjalten</font> sie, <font color = green>ohe</font> zu bezahlen - bei einem <font color = green>Afrianer</font> werden 250 teils <font color = green>oariginalverpackte</font> Produkte (<font color = green>Hanxys</font>, <font color = green>Lzptops</font>, <font color = green>Bekleidyng</font> usw.) <font color = green>gefubden</font>  https://t.co/<font color = green>4AjiMevwjm</font>",0.036957383155822754,0.5262920260429382,0.0,1.0,0.0,893.0,"Successful"
"#<font color = red>Offenburg</font>: <font color = red>Somalier</font> greift nachts auf der <font color = red>Straße</font> <font color = red>einen</font> Senioren an, <font color = red>tritt</font> <font color = red>derart</font> <font color = red>massiv</font> auf den am <font color = red>Boden</font> <font color = red>liegenden</font> 75-Jährigen ein, dass er mit schweren #Kopfverletzungen ins <font color = red>Krankenhaus</font> <font color = red>gebracht</font> wird   https://t.co/M5ynYt2ZtM","#<font color = green>Offenbugg</font>: <font color = green>Somalirr</font> greift nachts auf der <font color = green>Staße</font> <font color = green>eknen</font> Senioren an, <font color = green>trott</font> <font color = green>dedart</font> <font color = green>massdiv</font> auf den am <font color = green>Bodsn</font> <font color = green>liebenden</font> 75-Jährigen ein, dass er mit schweren #Kopfverletzungen ins <font color = green>Krankenhaks</font> <font color = green>gebracyt</font> wird   https://t.co/M5ynYt2ZtM",0.05110698938369751,0.530787467956543,0.0,1.0,0.0,435.0,"Successful"
"#Offenburg: Die Attacke des 2015 <font color = red>nach</font> D <font color = red>gekommen</font> <font color = red>Somaliers</font> auf den <font color = red>75-Jährigen</font> war ein solcher <font color = red>Gewaltexzess</font>, <font color = red>dass</font> das Opfer noch <font color = red>nicht</font> vernehmungsfähig und wohl auf einem <font color = red>Auge</font> erblindet ist - laut <font color = red>einem</font> Zeugen rief der <font color = red>Täter</font> bei der Tat 'Allahu Akbar'  https://t.co/Wbk1gsqcWS","#Offenburg: Die Attacke des 2015 <font color = green>naSch</font> D <font color = green>geoommen</font> <font color = green>SomaliLers</font> auf den <font color = green>75-ährigen</font> war ein solcher <font color = green>Gewaltexzexs</font>, <font color = green>dads</font> das Opfer noch <font color = green>nicut</font> vernehmungsfähig und wohl auf einem <font color = green>ARuge</font> erblindet ist - laut <font color = green>eknem</font> Zeugen rief der <font color = green>Tätyer</font> bei der Tat 'Allahu Akbar'  https://t.co/Wbk1gsqcWS",0.050624966621398926,0.5262022614479065,0.0,1.0,0.0,359.0,"Successful"
"<font color = red>Kapazitäten</font> im ZDF und zur <font color = red>Eurowahl</font>: Den <font color = red>Islam</font> gibt es <font color = red>erst</font> <font color = red>seit</font> dem 7. Jahrhundert, aber Frans <font color = red>Timmermans</font>, der Kommissionspräsident werden will, meint, <font color = red>dass</font> der Islam seit 2000 Jahre zu Europa gehört. <font color = red>Keinen</font> <font color = red>stört's</font>, das Publikum klatscht. #<font color = red>Pappnasen</font> https://t.co/<font color = red>hotI9zS8Tz</font>","<font color = green>Kapazitären</font> im ZDF und zur <font color = green>Ehrowahl</font>: Den <font color = green>Islxm</font> gibt es <font color = green>ert</font> <font color = green>sekt</font> dem 7. Jahrhundert, aber Frans <font color = green>Timmeromans</font>, der Kommissionspräsident werden will, meint, <font color = green>das</font> der Islam seit 2000 Jahre zu Europa gehört. <font color = green>Keiinen</font> <font color = green>ströt's</font>, das Publikum klatscht. #<font color = green>Papphasen</font> https://t.co/<font color = green>hotI9zSTz</font>",0.06271672248840332,0.5013481974601746,0.0,1.0,0.0,396.0,"Successful"
