original_text,perturbed_text,defended_text,defended_outcome,original_label,defended_prediction
"@USER , ich glaube,Sie verkrnnen gründlich die Situation. Deutschland mischt sich nicht ein, weil die letzte Einmischung in der Ukraine noch nicht bereinigt ist. Es geht nicht ums Militär","@USER , ich glaube,Sie verkrnnen gründlich die Sotuation. Deutschland mischt sich nicht ein, weil die letzte Einmischung in der Ukraine noch nicht bereinigt ist. Es geyt niQcht ums Militär","@USER , Ich glaube,Sie verkrnnen gründlich Die Situation. Deutschland mischt Sich nicht ein, weil Die letzte Einmischung In DER Ukraine noch nicht bereinigt ist. Es Tage Nicht ums Militär",SUCCESSFUL,LABEL_0,LABEL_0
"@USER: Man kann natürlich immerzu dieselbe Sau durchs Dorf treiben. Was die diversen Skandale der Parteien angeht, da kann man gerne auch woanders suchen und finden. Die Ära Kohl lässt grüßen oder auch die Amigo Affäre. Das Hunderte Millionen verschoben wurden, stimmt so nicht unbedingt. Die ""Realität"" ist eine etwas andere. Man sollte evtl. auch mal zur Kenntnis nehmen, dass kaum noch ""SED/PDS"" Funktionäre mitmischen. Das ist genauso abwegig wie der SPD immer noch Hartz IV vorgehalten wird, obwohl nur noch vereinzelt Politiker dort existieren, die mitgemischt haben. Außerdem lehnen die Linken Parteispenden ab, ebenso stimmen sie (wie auch die Grünen) gegen Diätenerhöhungen und spenden diese. Fragt sich nur wie das zusammenpasst mit der Mär der nimmersatten SED Nachfolgepartei. https://www.mdr.de/zeitreise/sed-vermoegen-100.html","@USER: Man kann natürlich immerzu diwselbe Sau durchs Dorf treiben. Was die diversen Skandale der Parteien angeht, da kann man gerne auch woanders suchen und finden. Die Ära Kohl lässt grüßen oder auch die Amigo Affäre. Das Hunderte Millionen verschoben wurden, stimmt so nicht unbedingt. Die ""Realität"" ist eine etwas andere. Man sollte evtl. auch mal zur Kenntnis nehmen, dass kaum noch ""SED/PDS"" Funktionäre mitmischen. Das ist genauso abwegig wie der SPD immer noch Hartz IV vorgehalten wird, obwohl nur noch vereinzelt Politiker dort existieren, die mitgemischt haben. Außedrem lehnen die Linken Parteispenden ab, ebenso stimmen sie (wie auch die Grünen) gegen Diätenerhöhungen und spenden diese. Fragt sich nur wie das zusammenpasst mit der Mär der nimmersatten SED Nachfolgepartei. https://www.mdr.de/zeitreise/sed-vermoegen-100.html","@USER: Man kann Natürlich immerzu dieselbe Sau durchs Dorf treiben. Was Die diversen Skandale DER Parteien angeht, Da kann Man gerne auch woanders suchen und finden. Die Ära Kohl lasst grüßen Oder auch Die Amigo Affäre. Das Hunderte Millionen verschoben wurden, stimmt so nicht unbedingt. Die ""Realität"" Ist Eine etwas andere. Man sollte evtl. auch Mal Zur Kenntnis nehmen dass kaum noch ""SED/PDS"" Funktionäre mitmischen. Das Ist GEnauso abwegig Wie DER SPD Immer noch Hartz IV vorgehalten wird, obwohl nur noch vereinzelt Politiker Dort existieren, Die mitgemischt haben. Außerdem lehnen Die Linken Parteispenden ab, ebenso stimmen sie (wie auch Die Grünen) gegen Diätenerhöhungen und spenden diese. Fragt Sich nur Wie Das zusammenpasst mit DER Mär DER nimmersatten SED Nachfolgepartei. https://www.mdr.de/zeitreise/sed-vermoegen-100.html",SUCCESSFUL,LABEL_0,LABEL_0
"Als jemand, der im real existierenden Sozialismus aufgewachsen ist, kann ich über George Weineberg nur sagen, dass er ein Voll...t ist. Finde es schon gut, dass der eingeladen wurde. Hat gezeigt, dass er viel Meinung hat, aber offensichtlich wenig Ahnung. Er hat sich eben so gut wie er kann, für alle sichtbar, zum Trottel gemacht.","Als jemand, der im real existierenden Sozialismus aufgewachsen ist, kann ich über George Weineberg nur sgaen, dass er ein Voll...t ist. Finde es schon gut, dass der eingeladen wurde. Hat gezeigt, dass er viel Meinung hat, aber offensichtlich wenig Ahnung. Er hat sich ehen so gut wie er kann, für alle sichtbar, zum Trottel gemacht.","Als jemand, DER Im real existierenden Sozialismus aufgewachsen ist, kann Ich Über George Weineberg nur sagen, dass er ein Voll...t ist. Finde es Schon Gut, dass DER eingeladen wurde. Hat gezeigt, dass er viel Meinung hat, aber offensichtlich wenig Ahnung. Er Hat Sich nahe so gut Wie er kann, Für alle sichtbar, zum Trottel gemacht.",SUCCESSFUL,LABEL_1,LABEL_1
"Sobald klar ist dass Trump die Wahl gewinnt liegen alle Deutschen Framing Journalisten im Sauerstoffzelt. Wegen extremer Schnappatmung. Das ist zwar hart, aber Fair!","Sobald klxr ist dass Trump die Wahl gewinnt liegen alle Deutschen Framing Journalisten im Sauerstoffzelt. Wehen extreker Sdhnappatmung. Das ist zwar hart, aber Fair!","Sobald Klar Ist dass Trump Die Wahl gewinnt liegen alle Deutschen Framing Journalisten Im Sauerstoffzelt. Wahlen extremer Schnappatmung. Das Ist zwar hart, aber Fair!",SUCCESSFUL,LABEL_1,LABEL_1
"@MEDIUM ...stimmt so nicht ganz: bespiel ""kleine eiszeit"" 1300-1900 und ""mittelalterliches klimaoptimum"" 950-1250 ...da spielte das klima offenbar ebenfalls ""verrückt""🤨","@MEDIUM ...stimmt so nicht ganz: bespirl ""kleine eiszeit"" 1300-19h00 und ""mittelalterliches klimaoptimum"" 950-2150 ...da spieote das klima offenbr ebenfalls ""verrückt""🤨","@MEDIUM ...stimmt so nicht ganz: bespiel ""kleine eiszeit"" 1000 und ""mittelalterliches klimaoptimum"" 950-1250 ...da spielte Das klima offenbar ebenfalls ""verrückt""🤨",SUCCESSFUL,LABEL_0,LABEL_0
@USER woher wissen Sie das? Glauben heißt nicht Wissen 🤓,@UWER wohdr wissen Sie das? Gpauben heißt nicht Wissen 🤓,@USER...wünsche Woher Wissen Sie das? Glauben heißt nicht Wissen ☝️,SUCCESSFUL,LABEL_0,LABEL_0
"@USER Merkel tritt nicht mehr an. Und mit SarsCov2 werden wir noch lange zu tun haben. Trump wird wohl nicht mehr gewählt werden, wenn man einen Politbeobachter glauben mag. Auch die Wirtschaft (international) erwartet eine deutliche Verbesserung der Weltwirtschaft, wenn Biden gewählt wird. Von daher sollte es Sie schon interessieren, weil Deutschland Expotweltmeister ist.","@USER Mrrkel tritt nicht mehr an. Und mit SarsCov2 werden wir noch lange zu tun haben. Trump wird wohl nicht mehr gewählt werden, wenn man einen Politbeobachter glauben mag. Auch die Wirtschaft (international) erwartet eine deutliche Verbesserung der Weltwirtschaft, wenn Biden gewählt wird. Von daber spllte es Sie schon intfressieren, weil Deutschland Expotweltmeister ist.","@USER Merkel tritt nicht mehr an. Und mit SarsCov2 werden wir noch lange zu tun haben. Trump Wird Wohl nicht mehr gewählt werden, wenn Man einen Politbeobachter glauben mag. Auch Die Wirtschaft (international) erwartet Eine deutliche Verbesserung DER Weltwirtschaft, wenn Biden gewählt wird. Von beider spaltet es Sie Schon interessieren, weil Deutschland Expotweltmeister ist.",SUCCESSFUL,LABEL_0,LABEL_0
"@USER Sie haben sich mit dem Bund geeinigt, einen Teil ihrer verschobenen DM Millionen wieder zurückzugeben.","@USER Sie hqben sich mit dem Bknd geeinigt, einen Teol ihrer versxhobenen DM Millionen wieder zurückaugeben.","@USER Sie Haben Sich mit dem Bank geeinigt, einen tolle ihrer verschobenen DM Millionen Wieder zurückzugeben.",SUCCESSFUL,LABEL_0,LABEL_0
"Wenn es der Regierung bei der CO2 Steuer nicht nur um mehr Steuereinnahmen gehen würde,so würde man in Deutschland endlich umweltfreundliche synthetische Kraftstoffe zulassen! Schweden und Finnland haben so ihren CO 2 Ausstoß um 50% verringert!","Wenn es der Regierkng bei der CO2 Steuer nicht nur um mehr Steuereinnahmen gehen würde,so würde man in Deugschland endlich umweltfrekndliche synthetische Kraftstoffe zulassen! Schweden und Finnland haben so ihren CO 2 Aussotß um 50% verringert!","Wenn es DER kriegen. bei DER CO2 Steuer nicht nur Um mehr Steuereinnahmen gehen würde,so Wurde Man In Deutschland endlich umweltfreundliche synthetische Kraftstoffe zulassen! Schweden und Finnland haben so Ihren CO 1968 Ausstoß Um 50% verringert!",SUCCESSFUL,LABEL_0,LABEL_0
@USER funktioniert denn unsere Wirtschaft nicht?! Käse der Kommentar.,@USER funktooniert denn unsere Wirtschaft nicht?! Käse der Kommentar.,@USER funktioniert denn unsere Wirtschaft nicht? Käse DER Kommentar.,SUCCESSFUL,LABEL_0,LABEL_0
