"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"Ziemlich <font color = red>traurig</font> diese Kommentare zu lesen. Ihr könnt euch zwar belügen, dass es den vom Menschen gemachten Klimawandel nicht gibt, nur kann man die Natur nicht belügen. Wie viele Menschen müssen denn noch auf Grund des Klimawandels ihre Lebensgrundlage <font color = red>verlieren</font> <font color = red>oder</font> gar Sterben, bis ihr den <font color = red>ernst</font> der Lage erkannt habt?","Ziemlich <font color = green>trOaurig</font> diese Kommentare zu lesen. Ihr könnt euch zwar belügen, dass es den vom Menschen gemachten Klimawandel nicht gibt, nur kann man die Natur nicht belügen. Wie viele Menschen müssen denn noch auf Grund des Klimawandels ihre Lebensgrundlage <font color = green>verloeren</font> <font color = green>oxer</font> gar Sterben, bis ihr den <font color = green>egnst</font> der Lage erkannt habt?",0.002562105655670166,0.8182172775268555,0.0,1.0,0.0,135.0,"Successful"
"Sag ich doch, wir befeuern den Klimawandel. Raucher <font color = red>können</font> ihr <font color = red>Lebensende</font> meiner <font color = red>Meinung</font> nach <font color = red>auch</font> gerne befeuern, nur hab ich <font color = red>daran</font> <font color = red>kein</font> Interesse.","Sag ich doch, wir befeuern den Klimawandel. Raucher <font color = green>köhnen</font> ihr <font color = green>Lesbensende</font> meiner <font color = green>Meienung</font> nach <font color = green>aufh</font> gerne befeuern, nur hab ich <font color = green>datan</font> <font color = green>kekn</font> Interesse.",0.001911759376525879,0.926028311252594,0.0,1.0,0.0,216.0,"Successful"
"Schublade auf, Schublade zu. Zu <font color = green>mehr</font> Denkleistung <font color = green>reicht</font> es wohl bei dir nicht.","Schublade auf, Schublade zu. Zu <font color = red>mwhr</font> Denkleistung <font color = red>recht</font> es wohl bei dir nicht.",0.01424109935760498,0.9896789789199829,1.0,0.0,1.0,50.0,"Successful"
"Dummerweise haben wir in der EU und in der USA einen <font color = red>viel</font> höheren CO2 Fußabdruck als z.B. die <font color = red>Afrikaner</font> <font color = red>oder</font> <font color = red>Inder</font>.","Dummerweise haben wir in der EU und in der USA einen <font color = green>vuel</font> höheren CO2 Fußabdruck als z.B. die <font color = green>Abfrikaner</font> <font color = green>ofer</font> <font color = green>Idner</font>.",0.002701699733734131,0.8698155283927917,0.0,1.0,0.0,114.0,"Successful"
"@USER Schon mal was von Physik <font color = green>gehört</font>?","@USER Schon mal was von Physik <font color = red>gwhört</font>?",0.125260591506958,0.9920617938041687,1.0,0.0,1.0,29.0,"Successful"
"@USER geh wieder <font color = green>pennen</font>...dein Gesülze interessiert <font color = green>mich</font> nicht","@USER geh wieder <font color = red>pehnen</font>...dein Gesülze interessiert <font color = red>mgich</font> nicht",0.015043675899505615,0.7911221981048584,1.0,0.0,1.0,42.0,"Successful"
"Wenn ich einen Konjunktiv verwende hat das einen Grund liebe <font color = green>hysterischen</font> Klimafachleute,die ihr hier ja alle wohl seid.Lauter <font color = green>srudierte</font> <font color = green>Experten</font>,die es ganz <font color = green>genau</font> <font color = green>wissen</font>. Weil sie es gelesen haben😁","Wenn ich einen Konjunktiv verwende hat das einen Grund liebe <font color = red>hsterischen</font> Klimafachleute,die ihr hier ja alle wohl seid.Lauter <font color = red>sudierte</font> <font color = red>Esperten</font>,die es ganz <font color = red>genwu</font> <font color = red>wiesen</font>. Weil sie es gelesen haben😁",0.008636772632598877,0.6398351192474365,1.0,0.0,1.0,240.0,"Successful"
"Nach mir die <font color = green>Sintflut</font> ☺","Nach mir die <font color = red>Sintfput</font> ☺",0.0052255988121032715,0.9559354782104492,1.0,0.0,1.0,48.0,"Successful"
"@USER <font color = green>Staatsfernsehen</font> ! !","@USER <font color = red>Staatsfsrnsehen</font> ! !",0.006981015205383301,0.9693189859390259,1.0,0.0,1.0,109.0,"Successful"
"@USER Oh weh das möchten wir uns garnicht <font color = green>vorstellen</font>.","@USER Oh weh das möchten wir uns garnicht <font color = red>vlrstellen</font>.",0.10280591249465942,0.9504172205924988,1.0,0.0,1.0,61.0,"Successful"
"@USER seltsamerweise steigen die Temperaturen mit der sauberen Luft. <font color = red>Seit</font> <font color = red>über</font> 20 Jahren <font color = red>verbessert</font> sich die <font color = red>Luftqualität</font>, <font color = red>seither</font> steigen gleichzeitig die <font color = red>durchschnittliche</font> <font color = red>Mitteltemperatur</font>.","@USER seltsamerweise steigen die Temperaturen mit der sauberen Luft. <font color = green>Sekt</font> <font color = green>übrr</font> 20 Jahren <font color = green>verbNessert</font> sich die <font color = green>Luftqualifät</font>, <font color = green>siether</font> steigen gleichzeitig die <font color = green>durchsgchnittliche</font> <font color = green>Mitteltempwratur</font>.",0.0010333657264709473,0.9947665929794312,0.0,1.0,0.0,472.0,"Successful"
"@USER aus Sicht der grünen Fraktion kurz überschlagen die fossilen <font color = red>Energiestoffe</font>, der Verbrennungsmotor, die industrielle <font color = red>Landwirtschaft</font>, die <font color = red>Grenzen</font>, <font color = red>Schiffs-</font> und <font color = red>Flugverkehr</font>, <font color = red>Fleischverzehr</font>, usw. Reicht das erstmal?","@USER aus Sicht der grünen Fraktion kurz überschlagen die fossilen <font color = green>Energiestofce</font>, der Verbrennungsmotor, die industrielle <font color = green>Landwiratschaft</font>, die <font color = green>Gernzen</font>, <font color = green>Scihffs-</font> und <font color = green>FlugvDerkehr</font>, <font color = green>Flwischverzehr</font>, usw. Reicht das erstmal?",0.0019710659980773926,0.5166639089584351,0.0,1.0,0.0,451.0,"Successful"
"Wenn die Industrie <font color = red>angeblich</font> so extrem viel tut, frage ich mich, warum immer alles schlimmer wird.","Wenn die Industrie <font color = green>angeblih</font> so extrem viel tut, frage ich mich, warum immer alles schlimmer wird.",0.0014835596084594727,0.8853963613510132,0.0,1.0,0.0,54.0,"Successful"
"Die <font color = red>Luftqualität</font> ist <font color = red>nicht</font> <font color = red>besser</font>","Die <font color = green>Luffqualität</font> ist <font color = green>nkcht</font> <font color = green>beszer</font>",0.0016800165176391602,0.8752737641334534,0.0,1.0,0.0,131.0,"Successful"
"Für Deutsche/<font color = green>Einzahler</font> gibt es <font color = green>wieder</font> nix ! Arbeit rechnet sich für viele normale Arbeiter nicht mehr ..so isses korrekt ! Wer zum Mindestlohn ackern muß , hat bei StK 1 netto grad 1147€ ! ALG1 dann ca 769€ und kriegt nach 40 <font color = green>Jahren</font> 514€ Rente . Das ist Fakt und <font color = green>krank</font> 🤬 Das <font color = green>Geld</font> ist da , wird aber hier <font color = green>gebunkert</font> 🤬 <font color = green>https</font>://www.nzz.ch/meinung/<font color = green>kommentare</font>/<font color = green>die-fluechtlingskosten-sind-ein-deutsches-tabuthema-ld</font>.<font color = green>1316333</font> <font color = green>https</font>://app.<font color = green>handelsblatt</font>.com/<font color = green>politik</font>/deutschland/<font color = green>bundeshaushalt-asylruecklage-waechst-auf-mehr-als-30-milliarden-euro-an</font>/<font color = green>23255758</font>.html?share=fb&<font color = green>ticket</font>=ST-1835264-cgmNTb6ctfzzp9qIjRUW-ap4","Für Deutsche/<font color = red>Einzahlwr</font> gibt es <font color = red>wider</font> nix ! Arbeit rechnet sich für viele normale Arbeiter nicht mehr ..so isses korrekt ! Wer zum Mindestlohn ackern muß , hat bei StK 1 netto grad 1147€ ! ALG1 dann ca 769€ und kriegt nach 40 <font color = red>Jagren</font> 514€ Rente . Das ist Fakt und <font color = red>kdank</font> 🤬 Das <font color = red>Ged</font> ist da , wird aber hier <font color = red>gebunuert</font> 🤬 <font color = red>hnttps</font>://www.nzz.ch/meinung/<font color = red>kmmentare</font>/<font color = red>die-fluechtlinVgskosten-sind-ein-deutsches-tabuthema-ld</font>.<font color = red>1136333</font> <font color = red>hftps</font>://app.<font color = red>handelsvlatt</font>.com/<font color = red>pilitik</font>/deutschland/<font color = red>bundeshaushalt-ashlruecklage-waechst-auf-mehr-als-30-milliarden-euro-an</font>/<font color = red>2255758</font>.html?share=fb&<font color = red>tSicket</font>=ST-1835264-cgmNTb6ctfzzp9qIjRUW-ap4",0.0243375301361084,0.8074753880500793,1.0,0.0,1.0,1440.0,"Successful"
"Die ""Rentenreform"" der SPD ist ein <font color = red>schlechter</font> Scherz. Warum sollten nur Renter die länger als 35 Jahre gearbeitet haben eine Grundrente von 900 Euro bekommen, was noch unterhalb der <font color = red>Armutsgrenze</font> liegt? Warum <font color = red>sollen</font> Rentner, die weniger gearbeitet haben in <font color = red>noch</font> <font color = red>größerer</font> Armut leben müssen?","Die ""Rentenreform"" der SPD ist ein <font color = green>schlchter</font> Scherz. Warum sollten nur Renter die länger als 35 Jahre gearbeitet haben eine Grundrente von 900 Euro bekommen, was noch unterhalb der <font color = green>Atmutsgrenze</font> liegt? Warum <font color = green>spllen</font> Rentner, die weniger gearbeitet haben in <font color = green>nich</font> <font color = green>größzerer</font> Armut leben müssen?",0.0012220144271850586,0.9593998789787292,0.0,1.0,0.0,249.0,"Successful"
