"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"@USER , ich glaube,Sie verkrnnen gründlich die <font color = red>Situation</font>. Deutschland mischt sich nicht ein, <font color = red>weil</font> die letzte Einmischung in der Ukraine noch nicht bereinigt ist. <font color = red>Es</font> <font color = red>geht</font> nicht ums Militär","@USER , ich glaube,Sie verkrnnen gründlich die <font color = green>Angelegenheit</font>. Deutschland mischt sich nicht ein, <font color = green>bevor</font> die letzte Einmischung in der Ukraine noch nicht bereinigt ist. <font color = green>Das</font> <font color = green>weiß</font> nicht ums Militär",0.006248652935028076,0.5199528932571411,0.0,1.0,0.0,64.0,"Successful"
"@USER: Man kann natürlich immerzu <font color = red>dieselbe</font> Sau durchs Dorf treiben. Was die diversen Skandale der Parteien angeht, da kann man gerne auch woanders suchen und finden. Die Ära Kohl lässt grüßen oder auch die Amigo Affäre. Das Hunderte Millionen verschoben wurden, stimmt so nicht unbedingt. Die ""Realität"" ist eine etwas andere. Man sollte evtl. auch mal zur Kenntnis nehmen, dass kaum <font color = red>noch</font> ""SED/PDS"" Funktionäre mitmischen. Das ist genauso abwegig wie der SPD immer noch Hartz IV vorgehalten wird, obwohl nur noch vereinzelt Politiker dort <font color = red>existieren</font>, die mitgemischt haben. <font color = red>Außerdem</font> lehnen die Linken Parteispenden ab, ebenso stimmen sie (wie auch die Grünen) gegen Diätenerhöhungen und spenden diese. Fragt sich <font color = red>nur</font> wie das zusammenpasst mit der Mär der nimmersatten SED Nachfolgepartei. https://www.mdr.de/zeitreise/sed-vermoegen-100.html","@USER: Man kann natürlich immerzu <font color = green>mehr</font> Sau durchs Dorf treiben. Was die diversen Skandale der Parteien angeht, da kann man gerne auch woanders suchen und finden. Die Ära Kohl lässt grüßen oder auch die Amigo Affäre. Das Hunderte Millionen verschoben wurden, stimmt so nicht unbedingt. Die ""Realität"" ist eine etwas andere. Man sollte evtl. auch mal zur Kenntnis nehmen, dass kaum <font color = green>mal</font> ""SED/PDS"" Funktionäre mitmischen. Das ist genauso abwegig wie der SPD immer noch Hartz IV vorgehalten wird, obwohl nur noch vereinzelt Politiker dort <font color = green>gibt</font>, die mitgemischt haben. <font color = green>Deswegen</font> lehnen die Linken Parteispenden ab, ebenso stimmen sie (wie auch die Grünen) gegen Diätenerhöhungen und spenden diese. Fragt sich <font color = green>eh</font> wie das zusammenpasst mit der Mär der nimmersatten SED Nachfolgepartei. https://www.mdr.de/zeitreise/sed-vermoegen-100.html",0.12392383813858032,0.5185601711273193,0.0,1.0,0.0,101.0,"Successful"
"Als jemand, der im real existierenden Sozialismus aufgewachsen ist, kann ich <font color = green>über</font> George Weineberg nur <font color = green>sagen</font>, dass er <font color = green>ein</font> Voll...t ist. Finde es schon gut, dass der eingeladen wurde. Hat gezeigt, dass er viel Meinung hat, aber offensichtlich wenig Ahnung. Er hat sich <font color = green>eben</font> so gut wie er kann, für alle sichtbar, zum Trottel gemacht.","Als jemand, der im real existierenden Sozialismus aufgewachsen ist, kann ich <font color = red>im</font> George Weineberg nur <font color = red>sprechen</font>, dass er <font color = red>einer</font> Voll...t ist. Finde es schon gut, dass der eingeladen wurde. Hat gezeigt, dass er viel Meinung hat, aber offensichtlich wenig Ahnung. Er hat sich <font color = red>schließlich</font> so gut wie er kann, für alle sichtbar, zum Trottel gemacht.",0.11698722839355469,0.7402994632720947,1.0,0.0,1.0,122.0,"Successful"
"Sobald <font color = green>klar</font> ist dass Trump die Wahl gewinnt liegen <font color = green>alle</font> <font color = green>Deutschen</font> Framing Journalisten im Sauerstoffzelt. Wegen extremer Schnappatmung. <font color = green>Das</font> <font color = green>ist</font> <font color = green>zwar</font> hart, aber Fair!","Sobald <font color = green>spürbar</font> ist dass Trump die Wahl gewinnt liegen <font color = green>einige</font> <font color = green>Dutzend</font> Framing Journalisten im Sauerstoffzelt. Wegen extremer Schnappatmung. <font color = green>Dies</font> <font color = green>wäre</font> <font color = green>zweifellos</font> hart, aber Fair!",0.01878291368484497,0.28117191791534424,1.0,1.0,1.0,67.0,"Failed"
"@MEDIUM ...stimmt so nicht ganz: <font color = red>bespiel</font> ""kleine eiszeit"" <font color = red>1300-1900</font> und ""mittelalterliches klimaoptimum"" 950-1250 ...da spielte <font color = red>das</font> klima <font color = red>offenbar</font> ebenfalls ""verrückt""🤨","@MEDIUM ...stimmt so nicht ganz: <font color = red>einst</font> ""kleine eiszeit"" <font color = red>1700</font> und ""mittelalterliches klimaoptimum"" 950-1250 ...da spielte <font color = red>dem</font> klima <font color = red>jetzt</font> ebenfalls ""verrückt""🤨",0.005643606185913086,0.01191622018814087,0.0,0.0,0.0,71.0,"Failed"
"@USER <font color = red>woher</font> wissen Sie das? Glauben heißt nicht Wissen 🤓","@USER <font color = red>Jetzt</font> wissen Sie das? Glauben heißt nicht Wissen 🤓",0.01414722204208374,0.10586607456207275,0.0,0.0,0.0,29.0,"Failed"
"@USER Merkel <font color = red>tritt</font> nicht <font color = red>mehr</font> an. <font color = red>Und</font> mit SarsCov2 werden wir noch lange zu tun haben. Trump wird wohl nicht mehr gewählt <font color = red>werden</font>, wenn man einen Politbeobachter glauben mag. Auch die Wirtschaft (international) erwartet eine deutliche Verbesserung der Weltwirtschaft, <font color = red>wenn</font> Biden gewählt wird. Von <font color = red>daher</font> <font color = red>sollte</font> es <font color = red>Sie</font> schon <font color = red>interessieren</font>, weil Deutschland Expotweltmeister ist.","@USER Merkel <font color = green>hat</font> nicht <font color = green>mal</font> an. <font color = green>und</font> mit SarsCov2 werden wir noch lange zu tun haben. Trump wird wohl nicht mehr gewählt <font color = green>sein</font>, wenn man einen Politbeobachter glauben mag. Auch die Wirtschaft (international) erwartet eine deutliche Verbesserung der Weltwirtschaft, <font color = green>bevor</font> Biden gewählt wird. Von <font color = green>wie</font> <font color = green>willst</font> es <font color = green>Dir</font> schon <font color = green>erzählen</font>, weil Deutschland Expotweltmeister ist.",0.0037832260131835938,0.767926812171936,0.0,1.0,0.0,169.0,"Successful"
"@USER Sie <font color = red>haben</font> sich <font color = red>mit</font> <font color = red>dem</font> Bund geeinigt, <font color = red>einen</font> Teil ihrer verschobenen DM Millionen wieder zurückzugeben.","@USER Sie <font color = red>gibt</font> sich <font color = red>dank</font> <font color = red>dessen</font> Bund geeinigt, <font color = red>dem</font> Teil ihrer verschobenen DM Millionen wieder zurückzugeben.",0.0010685920715332031,0.0036159157752990723,0.0,0.0,0.0,52.0,"Failed"
"Wenn es der <font color = red>Regierung</font> <font color = red>bei</font> <font color = red>der</font> CO2 Steuer nicht nur um mehr Steuereinnahmen <font color = red>gehen</font> würde,so würde <font color = red>man</font> in <font color = red>Deutschland</font> endlich umweltfreundliche synthetische Kraftstoffe zulassen! Schweden und Finnland <font color = red>haben</font> so <font color = red>ihren</font> CO 2 <font color = red>Ausstoß</font> um 50% verringert!","Wenn es der <font color = red>Gesellschaft</font> <font color = red>aus</font> <font color = red>dem</font> CO2 Steuer nicht nur um mehr Steuereinnahmen <font color = red>kümmern</font> würde,so würde <font color = red>ihr</font> in <font color = red>Europa</font> endlich umweltfreundliche synthetische Kraftstoffe zulassen! Schweden und Finnland <font color = red>helfen</font> so <font color = red>ihrem</font> CO 2 <font color = red>Haushalt</font> um 50% verringert!",0.0020566582679748535,0.19068437814712524,0.0,0.0,0.0,203.0,"Failed"
"@USER <font color = red>funktioniert</font> <font color = red>denn</font> unsere Wirtschaft nicht?! Käse der Kommentar.","@USER <font color = red>nutzen</font> <font color = red>doch</font> unsere Wirtschaft nicht?! Käse der Kommentar.",0.006408870220184326,0.021315455436706543,0.0,0.0,0.0,6.0,"Failed"
