"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"Das Deutschlandlied,  Sinn und <font color = red>Unsinn</font>  https://t.<font color = red>co</font>/BIw9k6d1mH","Das Deutschlandlied,  Sinn und <font color = red>Seele</font>  https://t.<font color = red>gl</font>/BIw9k6d1mH",0.07111728191375732,0.08065366744995117,0.0,0.0,0.0,74.0,"Failed"
"#Eurovision  <font color = red>https</font>://t.co/24T8fzUI44","#Eurovision  <font color = red>en</font>://t.co/24T8fzUI44",0.015177011489868164,0.01629263162612915,0.0,0.0,0.0,20.0,"Failed"
"Und genau das macht er und lässt sich Scheiden! <font color = red>https</font>://t.<font color = red>co</font>/4oLffHv5h1","Und genau das macht er und lässt sich Scheiden! <font color = red>http</font>://t.<font color = red>be</font>/4oLffHv5h1",0.03374367952346802,0.04162055253982544,0.0,0.0,0.0,28.0,"Failed"
"Dann <font color = red>wird</font> <font color = red>das</font> Konto gesperrt <font color = red>und</font> <font color = red>Du</font> <font color = red>musst</font> wieder <font color = red>für</font> fremde <font color = red>Leute</font> arbeiten! https://t.<font color = red>co</font>/eHckGOkKPk","Dann <font color = red>lass</font> <font color = red>Dir</font> Konto gesperrt <font color = red>usw</font> <font color = red>die</font> <font color = red>werdet</font> wieder <font color = red>als</font> fremde <font color = red>Menschen</font> arbeiten! https://t.<font color = red>net</font>/eHckGOkKPk",0.09460067749023438,0.2814818024635315,0.0,0.0,0.0,161.0,"Failed"
"Dann bleib Single! <font color = red>https</font>://t.<font color = red>co</font>/TOP0spaU01","Dann bleib Single! <font color = red>http</font>://t.<font color = red>ni</font>/TOP0spaU01",0.02547299861907959,0.03480154275894165,0.0,0.0,0.0,31.0,"Failed"
"Eben <font color = red>auf</font> ZDF  Messerattacken <font color = red>2017</font> 3800  2018 3700?  Also ist <font color = red>die</font> Kriminalitätsrate <font color = red>gesunken</font>!  <font color = red>Was</font> <font color = red>soll</font> <font color = red>das</font>?  Mich interessieren die  Messerattacken <font color = red>vor</font> 2015  Na <font color = red>wenigstens</font> <font color = red>haben</font> Landespolitiker <font color = red>zugegeben</font> ,'es ist <font color = red>kein</font> AfD Thema',<font color = red>es</font> <font color = red>ist</font> <font color = red>ein</font> alg Sicherheitsproblem!","Eben <font color = red>mit</font> ZDF  Messerattacken <font color = red>2010</font> 3800  2018 3700?  Also ist <font color = red>mein</font> Kriminalitätsrate <font color = red>normal</font>!  <font color = red>Welches</font> <font color = red>wird</font> <font color = red>dieses</font>?  Mich interessieren die  Messerattacken <font color = red>mit</font> 2015  Na <font color = red>wieder</font> <font color = red>kriegen</font> Landespolitiker <font color = red>geschrieben</font> ,'es ist <font color = red>keine</font> AfD Thema',<font color = red>die</font> <font color = red>werden</font> <font color = red>die</font> alg Sicherheitsproblem!",0.06434798240661621,0.11119693517684937,0.0,0.0,0.0,194.0,"Failed"
"@EUDebate   Steuergerechtigkeit, Google,Facebook <font color = red>u</font> d <font color = red>anderen</font>,<font color = red>akquirieren</font> <font color = red>durch</font> <font color = red>Ihren</font> <font color = red>Dienst</font> viele Arbeitsplätze und damit zahlen die AN <font color = red>Steuern</font>.  <font color = red>Die</font> kleinen <font color = red>haben</font> 3 <font color = red>AN</font> <font color = red>die</font> Sozialen viele 100.000 AN  <font color = red>Wenn</font> Sie <font color = red>ohne</font> <font color = red>die</font> Sozialen Netzwerke ,Steuern erhalten wollen","@EUDebate   Steuergerechtigkeit, Google,Facebook <font color = red>un</font> d <font color = red>andere</font>,<font color = red>Innerhalb</font> <font color = red>von</font> <font color = red>Deinen</font> <font color = red>arbeiten</font> viele Arbeitsplätze und damit zahlen die AN <font color = red>Steuer</font>.  <font color = red>Den</font> kleinen <font color = red>hat</font> 3 <font color = red>AB</font> <font color = red>nen</font> Sozialen viele 100.000 AN  <font color = red>wenn</font> Sie <font color = red>um</font> <font color = red>meine</font> Sozialen Netzwerke ,Steuern erhalten wollen",0.07103866338729858,0.1105952262878418,0.0,0.0,0.0,85.0,"Failed"
"@EUDebate   Jugendarbeitslosigkeit, <font color = red>dafür</font> <font color = red>ist</font> <font color = red>eine</font> Angleichung <font color = red>der</font> EU Länder <font color = red>also</font> Harmonisierung nötig!  Wenn dann Deutschland <font color = red>führend</font> in der Ausbildung ist,sollten <font color = red>die</font> EULänder von <font color = red>die</font> Nur Theorie <font color = red>abgehen</font> und Parallel <font color = red>die</font> praktische Ausbildung mit anbieten!","@EUDebate   Jugendarbeitslosigkeit, <font color = red>endlich</font> <font color = red>wär</font> <font color = red>das</font> Angleichung <font color = red>unser</font> EU Länder <font color = red>untereinander</font> Harmonisierung nötig!  Wenn dann Deutschland <font color = red>ständig</font> in der Ausbildung ist,sollten <font color = red>unsere</font> EULänder von <font color = red>dem</font> Nur Theorie <font color = red>reden</font> und Parallel <font color = red>zur</font> praktische Ausbildung mit anbieten!",0.050492823123931885,0.08318907022476196,0.0,0.0,0.0,125.0,"Failed"
"@EUDebate <font color = red>wir</font> <font color = red>haben</font> die Flüchtlinge nicht <font color = red>gerufen</font>!<font color = red>Es</font> waren <font color = red>die</font> Arbeitgeber,wenn die Fachkräfte brauchen,sollen Sie <font color = red>für</font> <font color = red>die</font> <font color = red>sorgen</font>,<font color = red>die</font> sie <font color = red>gerufen</font> <font color = red>haben</font>!  Asylanten sind <font color = red>im</font> geringen Umfang auf der Flucht,natürlich nehmen wir die auf!","@EUDebate <font color = red>Die</font> <font color = red>habt</font> die Flüchtlinge nicht <font color = red>verdient</font>!<font color = red>Sie</font> waren <font color = red>meine</font> Arbeitgeber,wenn die Fachkräfte brauchen,sollen Sie <font color = red>gegen</font> <font color = red>Sie</font> <font color = red>halten</font>,<font color = red>ich</font> sie <font color = red>gehört</font> <font color = red>habe</font>!  Asylanten sind <font color = red>un</font> geringen Umfang auf der Flucht,natürlich nehmen wir die auf!",0.15151309967041016,0.3108367919921875,0.0,0.0,0.0,142.0,"Failed"
"In Ostfriesland,hüpft <font color = red>man</font> neuerdings am Ampel Übergang bei Grün,<font color = red>über</font> <font color = red>die</font> <font color = red>Straße</font>!Ausgangspunkt war der Elefant von Otto,doch <font color = red>eine</font> StVO,<font color = red>besagt</font>,<font color = red>es</font> <font color = red>muss</font> ein Mensch sein,sonst gibt es Rechtliche <font color = red>Konsequenzen</font>, jetzt ist auf <font color = red>der</font> Ampel Otto hüpfend abgebildet!","In Ostfriesland,hüpft <font color = red>ich</font> neuerdings am Ampel Übergang bei Grün,<font color = red>gegen</font> <font color = red>ne</font> <font color = red>Ecke</font>!Ausgangspunkt war der Elefant von Otto,doch <font color = red>seine</font> StVO,<font color = red>weiß</font>,<font color = red>die</font> <font color = red>müssen</font> ein Mensch sein,sonst gibt es Rechtliche <font color = red>Hürden</font>, jetzt ist auf <font color = red>die</font> Ampel Otto hüpfend abgebildet!",0.11624389886856079,0.4170493483543396,0.0,0.0,0.0,110.0,"Failed"
