text_id	text	task_1	task_2
hasoc_de_1	Frank Rennicke – Ich bin stolz https://t.co/Cm6TD8w1k1 https://t.co/qynXso07Zn	NOT	NONE
hasoc_de_2	ANSEHEN.....und danach bitte TEILEN...TEILEN....TEILEN.... https://t.co/z18lnbOWRQ	NOT	NONE
hasoc_de_3	#Koeln Mohamed erkennt kein deutsches Recht sondern nur die #Scharia an. Das er den Kölner Dom kaputt machen wollte, war nur ein Scherz aber wenn er aus dem Knast rauskommt, hat er kein Mitleid mehr. https://t.co/xcSixH8JR2	NOT	NONE
hasoc_de_4	#SaudiArabien ist eine brutale islamische Diktatur und richtete kürzlich fünf Männer wegen ihre Homosexualität hin. Welche Konsequenzen hat das für das Verhältnis zu Saudi-Arabien nach Meinung der Bundesregierung? Die Antwort im Video. https://t.co/ttMeRBeXFE	NOT	NONE
hasoc_de_5	Bundespolizei #München hat im 1. Quartal 2019 rund 3.380 illegale Einreisen registriert, die Migranten stammten v. a. aus Nigeria, Afghanistan, Serbien, Albanien und der Türkei - je ein Drittel kam mit PKW bzw. per Bahn, ein Viertel mit dem Bus #Einreise  https://t.co/vNzTXqLomN	NOT	NONE
hasoc_de_6	#1EuropaFuerAlle oder wie es die #SPD heute noch bildhafteter formuliert hat:    Und willst Du nicht mein Bruder sein, so schlage ich Dir denn Schädel ein.    #Jusos #NoSPD #Baseballschläger  #NiewiederSozialismus https://t.co/fFL3xlJklo	NOT	NONE
hasoc_de_7	#Hannover: Weil ihm die Freizeitgestaltung und ihr Umgang mit Männern nicht passt, tritt und schlägt Mustafa F. (26) auf seine ehemalige -nach islamischem Recht- Ehefrau Alina (23) ein, rasiert ihr den Schädel kahl - Bruder wegen ähnlicher Tat vor Gericht  https://t.co/KrCJHOEwvx	NOT	NONE
hasoc_de_8	#Deutschland 2019: Ort für die #EU-Wahlparty der #AfD wurde gerade gekündigt. Vermieter und Mieter wurden massiv von #Linksextremisten bedroht. Das Gebäude wurde bereits am letzten Wochenende beschmiert und es wurde damit gedroht, das Gebäude zu beschädigen und Autos anzuzünden.	NOT	NONE
hasoc_de_9	#Innsbruck: Tirolerin und Türke knacken 2018 zahlreiche Automaten bei Auto-Waschanlagen und Tankstellen, anhand dort gefundener DNA kommt heraus, dass der Türke auch für Vergewaltigung einer Frau in Innsbruck in der Silvesternacht 2012 verantwortlich ist  https://t.co/pjejeHQ7CN	NOT	NONE
hasoc_de_10	#Wien: Vier Nigerianer bestellen teils hochpreisige Produkte unter falschen Namen, holen sie in Paketshops ab und behalten sie, ohne zu bezahlen - bei einem Afrikaner werden 250 teils originalverpackte Produkte (Handys, Laptops, Bekleidung usw.) gefunden  https://t.co/4AjiMevsjm	NOT	NONE
